timestamp,trade_id,timestamp,pnl,fee_paid,balance,equity,qty,price,psize,pprice,type,wallet_exposure
1609800240000.0,5683,1609800240000.0,0.0,-0.00037272,999.99962728,999.98442728,-0.4,9.318,-0.4,9.318,short_ientry,0.0037272013892025017
1609804740000.0,5758,1609804740000.0,0.0,-0.0020922000000000002,999.99753508,999.88433508,-2.2,9.51,-2.6,9.480461538461538,short_primary_rentry,0.02464926075845583
1609806840000.0,5793,1609806840000.0,0.0,-0.0047376,999.99279748,999.1723974800001,-4.8,9.87,-7.4,9.733135135135134,short_primary_rentry,0.07202571876667993
1609808280000.0,5817,1609808280000.0,0.0690162162162153,-0.0015504,1000.0602632962162,1000.3510470800001,1.6,9.69,-5.8,9.733135135135134,short_nclose,0.05644878199411341
1609808280000.0,5817,1609808280000.0,0.2791837837837747,-0.0056173,1000.33382978,1000.33382978,5.8,9.685,0.0,9.733135135135134,short_nclose,0.0
1609808340000.0,5818,1609808340000.0,0.0,-0.00029049,1000.33353929,1000.32393929,-0.3,9.683,-0.3,9.683,short_ientry,0.002903931424774372
1609809120000.0,5831,1609809120000.0,0.014400000000000012,-0.00028905,1000.34765024,1000.34765024,0.3,9.635,0.0,9.683,short_nclose,0.0
1609809180000.0,5832,1609809180000.0,0.0,-0.00029061,1000.34735963,1000.3494596300001,-0.3,9.687,-0.3,9.687,short_ientry,0.0029050908887037832
1609809300000.0,5834,1609809300000.0,0.014099999999999646,-0.0002892,1000.36117043,1000.36117043,0.3,9.64,0.0,9.687,short_nclose,0.0
1609809360000.0,5835,1609809360000.0,0.0,-0.00028923,1000.3608812,1000.3842812,-0.3,9.641,-0.3,9.641,short_ientry,0.002891256599848739
1609809420000.0,5836,1609809420000.0,0.02339999999999982,-0.00028689000000000004,1000.38399431,1000.38399431,0.3,9.563,0.0,9.641,short_nclose,0.0
1609809480000.0,5837,1609809480000.0,0.0,-0.00028737,1000.38370694,1000.3831069400001,-0.3,9.579,-0.3,9.579,short_ientry,0.0028725977643020086
1609810080000.0,5847,1609810080000.0,0.0,-0.00205275,1000.3816541900001,1000.3108541900001,-2.1,9.775,-2.4,9.750500000000002,short_primary_rentry,0.023392272241285497
1609810920000.0,5861,1609810920000.0,0.12120000000000743,-0.0023279999999999998,1000.5005261900001,1000.5005261900001,2.4,9.7,0.0,9.750500000000002,short_nclose,0.0
1609810980000.0,5862,1609810980000.0,0.0,-0.00029124,1000.50023495,1000.4978349500001,-0.3,9.708,-0.3,9.708,short_ientry,0.002910943844151668
1609813380000.0,5902,1609813380000.0,0.014400000000000012,-0.00028980000000000005,1000.51434515,1000.51434515,0.3,9.66,0.0,9.708,short_nclose,0.0
1609813440000.0,5903,1609813440000.0,0.0,-0.00028968000000000006,1000.51405547,1000.51135547,-0.3,9.656,-0.3,9.656,short_ientry,0.0028953116492093692
1609813860000.0,5910,1609813860000.0,0.015300000000000046,-0.00028815,1000.5290673200001,1000.5290673200001,0.3,9.605,0.0,9.656,short_nclose,0.0
1609813920000.0,5911,1609813920000.0,0.0,-0.00028824000000000005,1000.52877908,1000.53837908,-0.3,9.608,-0.3,9.608,short_ientry,0.002880876652693995
1609814100000.0,5914,1609814100000.0,0.014400000000000012,-0.0002868,1000.54289228,1000.54289228,0.3,9.56,0.0,9.608,short_nclose,0.0
1609814160000.0,5915,1609814160000.0,0.0,-0.00028731000000000004,1000.5426049700001,1000.5453049700001,-0.3,9.577,-0.3,9.577,short_ientry,0.002871541887100496
1609814220000.0,5916,1609814220000.0,0.014100000000000178,-0.00028589999999999996,1000.5564190700001,1000.5564190700001,0.3,9.53,0.0,9.577,short_nclose,0.0
1609814280000.0,5917,1609814280000.0,0.0,-0.00038056,1000.55603851,1000.55563851,-0.4,9.514,-0.4,9.514,short_ientry,0.0038034851158034017
1609817100000.0,5964,1609817100000.0,0.019599999999999798,-0.00037860000000000004,1000.57525991,1000.57525991,0.4,9.465,0.0,9.514,short_nclose,0.0
1609817160000.0,5965,1609817160000.0,0.0,-0.00037860000000000004,1000.57488131,1000.57928131,-0.4,9.465,-0.4,9.465,short_ientry,0.0037838247498709838
1609817220000.0,5966,1609817220000.0,0.020000000000000285,-0.0003766,1000.59450471,1000.59450471,0.4,9.415,0.0,9.465,short_nclose,0.0
1609817280000.0,5967,1609817280000.0,0.0,-0.0003766,1000.59412811,1000.59372811,-0.4,9.415,-0.4,9.415,short_ientry,0.0037637638421020056
1609818180000.0,5982,1609818180000.0,0.019999999999999574,-0.00037460000000000005,1000.61375351,1000.61375351,0.4,9.365,0.0,9.415,short_nclose,0.0
1609818240000.0,5983,1609818240000.0,0.0,-0.0003748,1000.61337871,1000.6081787100001,-0.4,9.37,-0.4,9.37,short_ientry,0.003745702465853451
1609818300000.0,5984,1609818300000.0,0.019999999999999574,-0.00037280000000000006,1000.63300591,1000.63300591,0.4,9.32,0.0,9.37,short_nclose,0.0
1609818360000.0,5985,1609818360000.0,0.0,-0.000373,1000.63263291,1000.61663291,-0.4,9.325,-0.4,9.325,short_ientry,0.003727641771138887
