+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | MATICUSDT |
| No. days                    | 720.708   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.224%    |
| Final balance               | 2241.09   |
| Final equity                | 2236.62   |
| Net PNL + fees              | 1241.09   |
| Total gain                  | 132.3%    |
| Average daily gain          | 0.117%    |
| DG mean std ratio           | 0.1121    |
| Price action distance mean  | 0.0244314 |
| Price action distance std   | 0.0390684 |
| Price action distance max   | 0.744459  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.787     |
| Equity/balance ratio std    | 0.01347   |
| No. fills                   | 46603     |
| No. entries                 | 23587     |
| No. closes                  | 23016     |
| No. initial entries         | 20396     |
| No. reentries               | 3187      |
| No. unstuck entries         | 4         |
| No. unstuck closes          | 144       |
| No. normal closes           | 22872     |
| Average n fills per day     | 64.7      |
| Mean hours stuck            | 1.6834    |
| Max hours stuck             | 433.733   |
| PNL sum                     | 1323.0    |
| Profit sum                  | 1456.0    |
| Loss sum                    | -132.6    |
| Fee sum                     | -82.32    |
| Biggest pos size            | 27958.0   |
| Biggest pos cost            | 1084.0    |
| Volume quote                | 823156.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.0932%   |
| Final balance               | 1398.94   |
| Final equity                | 1398.95   |
| Net PNL + fees              | 398.943   |
| Total gain                  | 42.09%    |
| Average daily gain          | 0.0497%   |
| DG mean std ratio           | 0.06275   |
| Price action distance mean  | 0.0213603 |
| Price action distance std   | 0.0262593 |
| Price action distance max   | 0.327638  |
| Closest bankruptcy          | 98.63%    |
| Lowest equity/balance ratio | 0.7564    |
| Equity/balance ratio std    | 0.01136   |
| No. fills                   | 22307     |
| No. entries                 | 11941     |
| No. closes                  | 10366     |
| No. initial entries         | 9895      |
| No. reentries               | 2046      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 75        |
| No. normal closes           | 10291     |
| Average n fills per day     | 31.0      |
| Mean hours stuck            | 1.92146   |
| Max hours stuck             | 160.817   |
| PNL sum                     | 420.9     |
| Profit sum                  | 423.0     |
| Loss sum                    | -2.059    |
| Fee sum                     | -21.95    |
| Biggest pos size            | 14580.0   |
| Biggest pos cost            | 681.3     |
| Volume quote                | 219538.0  |
+-----------------------------+-----------+
