,uid,info,stars,categ,bt_coin,bt_days,bt_l_adg,bt_s_adg,long,l_AU,l_gspan,l_TP,short,s_AU,s_gspan,s_TP
154,8e00c,/flyingtoaster/1s/0.1.2_auenabled_longshort/OPUSDT_20220807224359_bbacc,6.0,flyingtoaster,OPUSDT,60,0.828,0.884,True,True,25.0,0.2% /0.3%/,True,True,37.0,0.2% /0.28%/
198,4fd83,/flyingtoaster/1s/0.1.5_40%grid_1sdata_auenabled_longshort/SOLUSDT_20220901213214_31214,6.0,flyingtoaster,SOLUSDT,696,0.453,0.119,True,True,40.0,0.3% /0.2%/,True,True,43.0,0.3% /0.2%/
185,43ee4,/flyingtoaster/1s/0.1.4_40%grid_1sdata_auenabled_longshort/SOLUSDT_20220825174433_b9737,6.0,flyingtoaster,SOLUSDT,696,0.436,0.126,True,True,49.0,0.2% /0.3%/,True,True,55.0,0.2% /0.28%/
182,56ed1,/flyingtoaster/1s/0.1.4_40%grid_1sdata_auenabled_longshort/MATICUSDT_20220825174433_b9737,6.0,flyingtoaster,MATICUSDT,658,0.372,0.116,True,True,43.0,0.2% /0.3%/,True,True,46.0,0.2% /0.27%/
11,97472,/MDCL/Update_0.1/ADAUSDT_0.1,6.0,MDCL,ADAUSDT,892,0.36,0.0676,True,True,35.0,0.49% /0.2%/,True,True,47.0,0.5% /0.19%/
179,1a8cb,/flyingtoaster/1s/0.1.4_40%grid_1sdata_auenabled_longshort/HNTUSDT_20220825174433_b9737,6.0,flyingtoaster,HNTUSDT,682,0.277,0.124,True,True,45.0,0.2% /0.3%/,True,True,54.0,0.2% /0.3%/
188,fa1af,/flyingtoaster/1s/0.1.4_40%grid_1sdata_auenabled_longshort/WAVESUSDT_20220825174433_b9737,6.0,flyingtoaster,WAVESUSDT,729,0.267,0.0573,True,True,49.0,0.2% /0.28%/,True,True,59.0,0.2% /0.29%/
186,76135,/flyingtoaster/1s/0.1.4_40%grid_1sdata_auenabled_longshort/TRBUSDT_20220825174433_b9737,6.0,flyingtoaster,TRBUSDT,707,0.178,0.2,True,True,42.0,0.2% /0.29%/,True,True,57.0,0.2% /0.3%/
200,7ae69,/flyingtoaster/1s/0.1.5_40%grid_1sdata_auenabled_longshort/WAVESUSDT_20220831050247_8f999,6.0,flyingtoaster,WAVESUSDT,729,0.148,0.0509,True,True,45.0,0.29% /0.2%/,True,True,59.0,0.29% /0.2%/
176,20c08,/flyingtoaster/1s/0.1.4_40%grid_1sdata_auenabled_longshort/EOSUSDT_20220825174433_b9737,6.0,flyingtoaster,EOSUSDT,946,0.116,0.0887,True,True,47.0,0.2% /0.28%/,True,True,45.0,0.2% /0.3%/
166,87277,/flyingtoaster/1s/0.1.4_40%grid_1sdata_auenabled_longshort/ADAUSDT_20220825174433_b9737,6.0,flyingtoaster,ADAUSDT,923,0.115,0.0594,True,True,47.0,0.2% /0.27%/,True,True,47.0,0.2% /0.3%/
177,c59ec,/flyingtoaster/1s/0.1.4_40%grid_1sdata_auenabled_longshort/ETCUSDT_20220825174433_b9737,6.0,flyingtoaster,ETCUSDT,938,0.11,0.163,True,True,40.0,0.2% /0.29%/,True,True,57.0,0.2% /0.3%/
190,0b164,/flyingtoaster/1s/0.1.4_40%grid_1sdata_auenabled_longshort/XMRUSDT_20220825174433_b9737,6.0,flyingtoaster,XMRUSDT,920,0.0932,0.103,True,True,49.0,0.2% /0.29%/,True,True,45.0,0.2% /0.23%/
81,8d407,/flyingtoaster/1m/audisabled/1.5/GMTUSDT_20220723093109_e541e,5.0,flyingtoaster,GMTUSDT,129,0.768,0.849,True,False,17.0,0.2% /0.32%/,True,False,26.0,0.45% /0.37%/
100,c9d35,/flyingtoaster/1m/audisabled/1.7/HNTUSDT_20220726144831_522de,5.0,flyingtoaster,HNTUSDT,664,0.625,0.245,True,False,14.0,0.2% /0.82%/,True,False,57.0,0.9% /2.96%/
64,56ed4,/flyingtoaster/1m/0.1_auenabled_short/GMTUSDT_20220731004348_49308,5.0,flyingtoaster,GMTUSDT,131,0.618,0.671,True,False,25.0,0.2% /0.28%/,True,True,37.0,0.2% /0.26%/
148,9dad5,/flyingtoaster/1s/0.1.2_auenabled_longshort/GMTUSDT_20220805010112_a7190,5.0,flyingtoaster,GMTUSDT,138,0.583,0.601,True,True,25.0,0.2% /0.25%/,True,True,39.0,0.2% /0.27%/
82,fafe9,/flyingtoaster/1m/audisabled/1.5/HNTUSDT_20220723093109_e541e,5.0,flyingtoaster,HNTUSDT,662,0.543,0.201,True,False,15.0,0.2% /1.93%/,True,False,56.0,0.87% /2.94%/
103,8a161,/flyingtoaster/1m/audisabled/1.7/MATICUSDT_20220726144831_522de,5.0,flyingtoaster,MATICUSDT,640,0.448,0.187,True,False,24.0,0.2% /2.03%/,True,False,49.0,0.82% /2.48%/
70,dfc6a,/flyingtoaster/1m/0.1_auenabled_short/SANDUSDT_20220731004348_49308,5.0,flyingtoaster,SANDUSDT,545,0.417,0.161,True,False,32.0,0.2% /0.23%/,True,True,40.0,0.2% /0.0%/
87,1bcb7,/flyingtoaster/1m/audisabled/1.5/SANDUSDT_20220723093109_e541e,5.0,flyingtoaster,SANDUSDT,543,0.417,0.223,True,False,38.0,0.2% /2.86%/,True,False,36.0,0.96% /0.79%/
85,963d8,/flyingtoaster/1m/audisabled/1.5/MATICUSDT_20220723093109_e541e,5.0,flyingtoaster,MATICUSDT,638,0.376,0.212,True,False,29.0,0.2% /2.97%/,True,False,46.0,0.74% /2.66%/
68,af86d,/flyingtoaster/1m/0.1_auenabled_short/MATICUSDT_20220731004348_49308,5.0,flyingtoaster,MATICUSDT,640,0.373,0.131,True,False,31.0,0.2% /0.26%/,True,True,35.0,0.2% /0.0%/
41,c120f,/MDCL/Update_0.2.3/SOLUSDT_20220805110939_7de7b,5.0,MDCL,SOLUSDT,686,0.357,0.138,True,True,26.0,0.2% /0.24%/,True,True,49.0,0.2% /0.3%/
12,03673,/MDCL/Update_0.1/ATOMUSDT_0.1,5.0,MDCL,ATOMUSDT,885,0.353,0.136,True,True,42.0,0.5% /0.16%/,True,True,32.0,0.47% /0.09%/
65,dc847,/flyingtoaster/1m/0.1_auenabled_short/HNTUSDT_20220731004348_49308,5.0,flyingtoaster,HNTUSDT,664,0.336,0.146,True,False,29.0,0.2% /0.3%/,True,True,45.0,0.2% /0.3%/
149,89257,/flyingtoaster/1s/0.1.2_auenabled_longshort/HNTUSDT_20220805010112_a7190,5.0,flyingtoaster,HNTUSDT,671,0.33,0.157,True,True,29.0,0.2% /0.3%/,True,True,38.0,0.2% /0.01%/
78,842b0,/flyingtoaster/1m/audisabled/1.5/ENJUSDT_20220723093109_e541e,5.0,flyingtoaster,ENJUSDT,661,0.314,0.263,True,False,35.0,0.2% /2.14%/,True,False,25.0,0.54% /1.68%/
169,41cf7,/flyingtoaster/1s/0.1.4_40%grid_1sdata_auenabled_longshort/CHZUSDT_20220825174433_b9737,5.0,flyingtoaster,CHZUSDT,567,0.312,0.149,True,True,44.0,0.2% /0.3%/,True,True,45.0,0.2% /0.29%/
195,37ec1,/flyingtoaster/1s/0.1.5_40%grid_1sdata_auenabled_longshort/MATICUSDT_20220831050247_8f999,5.0,flyingtoaster,MATICUSDT,649,0.309,0.106,True,True,40.0,0.25% /0.17%/,True,True,40.0,0.29% /0.19%/
67,81711,/flyingtoaster/1m/0.1_auenabled_short/MANAUSDT_20220731004348_49308,5.0,flyingtoaster,MANAUSDT,496,0.306,0.237,True,False,38.0,0.2% /0.29%/,True,True,36.0,0.2% /0.27%/
61,47a74,/flyingtoaster/1m/0.1_auenabled_short/ENJUSDT_20220731004348_49308,5.0,flyingtoaster,ENJUSDT,663,0.301,0.202,True,False,34.0,0.2% /0.3%/,True,True,35.0,0.2% /0.26%/
16,f6a08,/MDCL/Update_0.1/SOLUSDT_0.1,5.0,MDCL,SOLUSDT,665,0.299,0.111,True,True,30.0,0.29% /0.19%/,True,True,57.0,0.29% /0.2%/
