,strat_name,gs,s_k,s_f_equ_long,s_gain,s_loss,low_equ_bal,pa_dist_mean_long,l_we,adg_exposure,n_days,ratio_loss,ratio_dist,krishn_ratio
514,9be0b,12.0,9000.0,28598.925275855894,85321.9981548559,0.0,0.2677203792735594,0.7036261930182147,0.9090909090909091,0.25007578734947744,785.1333333333333,0.0,0.3351881800042942,7656.515121668324
571,0c59c,29.0,9000.0,28859.437178487653,74634.50527289674,0.0,0.266216549551855,0.6965067146513677,0.9090909090909091,0.24827462883191315,785.1333333333333,0.0,0.38667687382618526,7682.859787665504
158,8d407,17.0,11000.0,46046.38709367304,62646.98526167304,0.0,0.4169074995275721,0.1660412591261782,0.909090909090909,0.24187178865588227,788.1454545454545,0.0,0.7350136148026882,19197.084105501894
108,c9d35,14.0,11000.0,35636.079966612815,89287.47433829356,0.0,0.2992932905774307,0.5768332292576938,0.909090909090909,0.24181850146866568,788.1454545454545,0.0,0.39911622801194224,10665.639636488006
225,a3593,16.0,11000.0,44022.96875559094,62266.05946759093,0.0,0.432411599074903,0.17776616274359572,0.909090909090909,0.23711954769996374,788.1454545454545,0.0,0.707013887373178,19036.042315629573
519,ed5c9,17.0,9000.0,31232.657596627883,42676.461011627885,0.0,0.41585542963064603,0.17992353051963397,0.9090909090909091,0.23625321551044692,785.1333333333333,0.0,0.7318474132172779,12988.270243352548
169,0e17f,-1.0,8000.0,29973.16392792844,30058.52540792844,-32204.565394834237,0.7545620892123316,0.011492424601628583,0.5,0.23470129227761058,739.6875,1.0744466440803941,0.9971601574314924,22616.61319376138
95,01fa5,13.0,9000.0,32597.78111882844,52695.84552407795,0.0,0.42708520116986354,0.34658137280459117,0.8432888724136615,0.23238534256138976,785.1333333333333,0.0,0.6186024874377195,13922.029906826023
172,fd8e3,14.0,9000.0,41159.66545099988,61252.08158293172,0.0,0.4206597510152327,0.37264836486558284,0.8968838435552495,0.2308217964809992,785.1333333333333,0.0,0.6719717009987997,17314.214620487885
39,41655,14.0,9000.0,36502.34167036699,62953.37727144016,0.0,0.3478638655251736,0.45945013222333014,0.9090909090909091,0.22929232851895628,785.1333333333333,0.0,0.5798313490470491,12697.845674174483
148,57196,14.0,9000.0,32703.64384336789,59523.93838666004,0.0,0.32604633331816607,0.6436335440127647,0.8967555592343521,0.22484834452966662,785.1333333333333,0.0,0.5494200271314227,10662.903161273316
432,c120f,26.0,11000.0,32898.375950329944,59185.93187890666,-1985.956764559242,0.5766583657791003,1.0511068937221248,0.5,0.2218034903669771,788.1454545454545,0.060366407373958056,0.5558479000996288,18971.123712303724
521,44ae4,10.0,11000.0,39402.35299412252,39490.65087704222,-23960.51307478583,0.7363567141967843,0.01856297662470382,0.5,0.2217200817469065,788.1454545454545,0.6080985335662548,0.9977640813468832,29014.187182373884
102,ca119,46.0,9000.0,35616.03751329986,36917.045843648026,-2678.881552955623,0.5690151294402946,0.16577843314507418,0.9090909090909091,0.22162992463496015,785.1333333333333,0.07521559780352506,0.9647586013285508,20266.06419578071
526,f0bf4,14.0,9000.0,31285.868016855697,60347.16014191327,-153.40743623780193,0.3352999619721693,0.37264676614493947,0.9090909090909091,0.22118792119780603,785.1333333333333,0.004903409940716733,0.5184314877996478,10490.150356318023
621,8e00c,25.0,11000.0,33788.6591206102,52889.838069841055,-8914.756796641952,0.39805451923073215,0.23260342254381927,0.909090909090909,0.22104270139565244,788.1454545454545,0.2638387266218618,0.638849736616555,13449.728461705587
499,3d325,14.0,9000.0,29484.315583154992,60090.889306155,0.0,0.3312887429593006,0.3826890715403412,0.9090909090909091,0.21993603709632545,785.1333333333333,0.0,0.49066199424901785,9767.821846558736
457,89b4b,23.0,9000.0,32705.735967367007,47669.207704547036,0.0,0.4090767863731949,0.22021956490904795,0.9090909090909091,0.21958035023231334,785.1333333333333,0.0,0.686097746160931,13379.15736550071
157,32714,17.0,9000.0,22709.614798200048,51967.44798275178,-187.80626183300055,0.3177510257104692,0.4211161748173335,0.9090909090909091,0.21939221528910482,785.1333333333333,0.008269900810818067,0.4369969217217953,7216.003395617715
700,25573,14.0,9000.0,32059.803225728556,43366.036965728556,0.0,0.6394425615977084,0.4109522675727021,0.5,0.2191578565543314,785.1333333333333,0.0,0.7392836760957631,20500.40269897834
624,6199b,15.0,9000.0,30186.763427816346,33063.53173998429,0.0,0.5398946766870655,0.0855377486354742,0.9090909090909091,0.2183275930677757,785.1333333333333,0.0,0.9129927094663932,16297.672881089838
383,1f403,12.0,9000.0,31394.063377643815,59327.39232864381,0.0,0.3206371475398952,0.6177808432933604,0.9090909090909091,0.21585806705409225,785.1333333333333,0.0,0.5291664127716342,10066.102931094401
486,5d69c,14.0,9000.0,25591.871720667645,48397.278988772545,0.0,0.3285779528783531,0.4438135395361725,0.9090909090909091,0.21498857555786602,785.1333333333333,0.0,0.5287874082054196,8408.92482030239
737,336f5,36.0,9000.0,27400.383733624934,41460.68833428914,0.0,0.4120186465222988,0.16687457509773962,0.9090909090909091,0.21429269989456456,785.1333333333333,0.0,0.6608762380571491,11289.469020119757
186,3284d,38.0,9000.0,26213.939051846275,40773.83723984628,0.0,0.42330246900610496,0.21652286098461385,0.9090909090909091,0.20953808684921343,785.1333333333333,0.0,0.6429107689238694,11096.425123022082
138,bbec1,12.0,9000.0,29682.373613324107,40911.84492972736,-500.9589140027954,0.6399015823558656,0.5780621970379497,0.5,0.20941871377945598,785.1333333333333,0.016877319871006546,0.7255202903782103,18993.797843244087
554,ceb0f,14.0,9000.0,36095.469284344596,37736.0283033446,-26203.90685989862,0.48725249064774584,0.1355276142684443,0.9090909090909091,0.20751889186297107,785.1333333333333,0.72596110756936,0.956525392502565,17587.607309896113
608,0357d,12.0,9000.0,27249.770198173414,46323.7448887875,0.0,0.3679068505026383,0.6063220831914341,0.855160906658142,0.20555192537421849,785.1333333333333,0.0,0.5882462711854094,10025.377130530635
409,5e6fd,34.0,11000.0,32836.914184557296,40931.63616010616,-18514.921376673556,0.6541694529655863,0.2924161141538988,0.5,0.2053787847256177,788.1454545454545,0.5638447410926586,0.8022380062236958,21480.906189189747
119,8cc48,14.0,9000.0,25068.405242526747,44753.200082446,-4621.811772034373,0.38734493542763543,0.30802976395597903,0.9090909090909091,0.20487826098185108,785.1333333333333,0.18436800136746637,0.5601477703570874,9710.119809940321
11,b9ef3,-1.0,8000.0,25603.65077281076,25647.035512810766,-36628.36119867275,0.781837547458506,0.01239021608253113,0.5,0.20430733986563407,739.6875,1.4305913451049503,0.9983083916276275,20017.895526198445
391,d10ea,23.0,9000.0,27979.99598221379,41476.92625095562,0.0,0.40055576978786644,0.22319031726289065,0.9090909090909091,0.20376382220159453,785.1333333333333,0.0,0.6745918396392533,11207.548829317055
116,126ca,-1.0,8000.0,25436.740917582098,25491.4903175821,-22570.308462849116,0.7694917977010002,0.01352824873180198,0.5,0.20295219828711739,739.6875,0.8873113319029138,0.9978522479730328,19573.363496324837
249,593c6,34.0,9000.0,21859.930117083823,44141.611738531195,0.0,0.33721264519788874,0.30991169448754186,0.9090909090909091,0.2028227857932906,785.1333333333333,0.0,0.4952227446195015,7371.444858622829
291,6cb01,13.0,9000.0,27786.59779217305,27942.69576717305,-32790.43488240809,0.5434705613233106,0.02202123260135714,0.9090909090909091,0.20270357666677202,785.1333333333333,1.1800809558500367,0.9944136393889603,15101.19789937735
718,4fd83,40.0,11000.0,33197.021399637684,39059.482539582335,-19095.17746395956,0.6604948125694846,0.357826367999019,0.5,0.20096644493214563,788.1454545454545,0.5752075535357509,0.8499094007708956,21926.460427218863
635,ff74f,13.0,9000.0,22816.449795605247,29081.567455061235,-575.9682122237836,0.3988645945901564,0.28265906611516595,0.9090909090909091,0.19932195735016175,785.1333333333333,0.025243550919772047,0.7845674010131242,9100.673997710743
748,43ee4,49.0,11000.0,30732.976322297327,51328.813941061926,-793.9341841768862,0.6081976865661828,0.5516003983653138,0.5,0.19908311830057904,788.1454545454545,0.025833299575377368,0.5987470576971898,18691.725100514508
101,1bcb7,38.0,11000.0,26859.431862641177,41407.41080488935,0.0,0.41972584175407274,0.1391581767548982,0.909090909090909,0.19841329464101276,788.1454545454545,0.0,0.6486624336209315,11273.59764758323
663,7d6d3,13.0,9000.0,23328.29560349397,37712.115865199485,0.0,0.4179808129479813,0.4487459210129997,0.8574398272227597,0.1972856645942769,785.1333333333333,0.0,0.6185888823337325,9750.779961039227
73,d86ed,16.0,9000.0,22432.85737767622,28424.216037261034,0.0,0.47500281537400824,0.12617388124869222,0.9090909090909091,0.19723984690365962,785.1333333333333,0.0,0.7892163973236483,10655.670411279796
70,f2765,-1.0,9000.0,27065.006342179287,30764.484542179285,0.0,0.5069872830239117,0.3155435397212808,0.9090909090909091,0.1964882100381405,785.1333333333333,0.0,0.8797484094060516,13721.614030446415
36,c7713,35.0,11000.0,28246.707109585637,41587.31439344428,0.0,0.44047879852981603,0.14253318543152174,0.909090909090909,0.19631973502841146,788.1454545454545,0.0,0.6792145037872025,12442.075610053895
92,bf48a,16.0,9000.0,24589.282740738417,42815.255123881274,0.0,0.3636209897390853,0.30260183322932327,0.9090909090909091,0.19568678570398493,785.1333333333333,0.0,0.5743112512022177,8941.179327161512
165,56ed4,25.0,11000.0,24027.365535300007,46560.91756530002,0.0,0.37536158226012,0.24604085425171282,0.909090909090909,0.19563698430450246,788.1454545454545,0.0,0.5160414955655134,9018.949944872486
453,86273,14.0,9000.0,21919.45818085388,44670.72442185388,0.0,0.2989617335255812,0.563266626131139,0.9090909090909091,0.19530773846025679,785.1333333333333,0.0,0.49068956155388443,6553.079215689558
161,a0c33,15.0,11000.0,35287.78108817049,39653.2508081705,0.0,0.7074058903537167,0.15422001418705536,0.5,0.19357758604836378,788.1454545454545,0.0,0.8899089070624063,24962.784199284295
380,a8a2d,12.0,9000.0,36686.84272060145,36911.34871660145,-66490.9805867761,0.565792299937693,0.011953403226887257,0.9090909090909091,0.19265296207066981,785.1333333333333,1.8123930994322979,0.9939176972989062,20757.133120341507
56,d7f63,17.0,11000.0,29054.81799928769,41260.9731329805,0.0,0.44487994120974506,0.19080931026628456,0.909090909090909,0.19264969108983312,788.1454545454545,0.0,0.7041719036932687,12925.90572338295
209,c5d1e,13.0,11000.0,33055.2113882753,42390.46921362482,-126.74035090576427,0.6608441783053081,0.3584510913652607,0.5,0.19192828027004752,788.1454545454545,0.0038342017970188855,0.7797793230760216,21844.34400859305
481,b4515,15.0,9000.0,21635.05163035093,42112.33267435093,0.0,0.37398756347711903,0.25626915053038,0.9090909090909091,0.19187963145351283,785.1333333333333,0.0,0.513746217709,8091.240244936615
306,67ee1,11.0,9000.0,27623.785382693357,36669.27085259096,-3465.887938696734,0.6698126844619539,0.3022455394566332,0.5,0.1917747689555128,785.1333333333333,0.12546752339265407,0.7533224615711585,18502.761842182717
255,463e0,48.0,9000.0,23630.574408718858,27355.892057309942,-14633.763903244015,0.6575642137546899,0.28651111458632506,0.5,0.19050377088902634,785.1333333333333,0.6192724582202567,0.8638202826364926,15538.620081640911
696,54c86,10.0,11000.0,34615.31872040255,34642.28302040256,-33181.53624465151,0.764744118732721,0.011052322257706686,0.5,0.1899704402014942,788.1454545454545,0.9585795385178423,0.999221636172647,26471.861409486508
284,c2a97,14.0,9000.0,25373.993389602143,36106.81737060214,0.0,0.38528153306029517,0.3378981263782231,0.9090909090909091,0.1898489727761003,785.1333333333333,0.0,0.7027479915818177,9776.13107300771
103,e74c8,39.0,9000.0,18464.881434367646,31218.393982700985,0.0,0.40427394942071865,0.1502799662430614,0.9090909090909091,0.18916832861386926,785.1333333333333,0.0,0.5914744187224868,7464.870543057113
1,89257,29.0,11000.0,26867.22428828764,47231.27853891717,-43.096268370855846,0.403742105941539,0.22942907641186625,0.909090909090909,0.18820834089399519,788.1454545454545,0.001604046175683396,0.568843891578117,10847.429714956917
182,8a161,24.0,11000.0,28566.50759025361,44210.11950246133,0.0,0.43436641303227136,0.1950409631371225,0.909090909090909,0.18717231110556753,788.1454545454545,0.0,0.6461531412206024,12408.331434837613
82,bd1f2,16.0,11000.0,32566.915291267287,37153.90086194478,0.0,0.7179270769531342,0.17224276397146793,0.5,0.18716265551321987,788.1454545454545,0.0,0.8765409428280045,23380.67030043985
320,46b65,25.0,9000.0,25541.552673648082,35939.41835235379,-10.322608643098556,0.6527571122972482,0.28413670498855004,0.5,0.18705660551341283,785.1333333333333,0.0004041496135725795,0.7106835292445762,16672.43016683858
386,32619,15.0,9000.0,20623.26082606704,29136.22807480794,0.0,0.4111841070115458,0.2065539132306855,0.9090909090909091,0.18642502451390072,785.1333333333333,0.0,0.7078219175493938,8479.957086432569
602,963d8,29.0,11000.0,27801.4511012975,34510.350089297506,0.0,0.4956593663400202,0.10372947835917366,0.909090909090909,0.1864076616833879,788.1454545454545,0.0,0.8055974810269863,13780.049636202177
37,c8424,37.0,11000.0,26339.914107303317,40368.33121159841,0.0,0.4272217759108811,0.17471316915332885,0.909090909090909,0.18427456569703082,788.1454545454545,0.0,0.6524895460562283,11252.984882262193
482,4eb7a,26.0,9000.0,19242.755596907726,23576.86313343519,0.0,0.4773474342184721,0.09844276255237146,0.9090909090909091,0.18317192994639228,785.1333333333333,0.0,0.8161711542371762,9185.480011477046
586,f88ee,12.0,9000.0,23470.316602705898,43418.98024970589,0.0,0.32115856434390083,0.6087377353980636,0.9090909090909091,0.1831429420167359,785.1333333333333,0.0,0.5405543029275746,7537.693184821846
595,5986e,16.0,11000.0,27568.008925087903,36622.729985087906,0.0,0.49332749889219923,0.13697034502073152,0.909090909090909,0.18293474037925508,788.1454545454545,0.0,0.7527567971124239,13600.056892451441
497,40425,13.0,9000.0,27697.492957580136,27731.375467580132,-15732.983589390624,0.7543575187055093,0.02150838145953558,0.5,0.18281022780599898,785.1333333333333,0.5680291574940137,0.9987781886246643,20893.81206184347
717,81145,32.0,11000.0,26587.482219214202,37334.05079978646,0.0,0.4755336606695378,0.09795866839343156,0.909090909090909,0.18263034966573352,788.1454545454545,0.0,0.7121510162879586,12643.242747689175
487,29146,30.0,9000.0,26579.06307818761,27546.589698187614,-15465.518819595973,0.7811390806964235,0.07222832516608786,0.5,0.18255783627115682,785.1333333333333,0.5818684719661136,0.9648767186573494,20761.94489866772
538,9eacc,-1.0,8000.0,22258.714883169094,22286.342243169092,-7032.117313874543,0.7711417492564963,0.024483134845562398,0.5,0.18097420205032957,739.6875,0.3159264742274888,0.9987603456996867,17164.624331208623
412,ff6f8,13.0,9000.0,24104.438963483568,34699.44955583893,0.0,0.4628799003168942,0.36291980707315774,0.8397224516622358,0.18053084736071112,785.1333333333333,0.0,0.6946634391042515,11157.460304611934
671,e251b,29.0,11000.0,26839.05750351034,37956.21996143341,0.0,0.48124491065719893,0.12980132014636578,0.909090909090909,0.1803797049555402,788.1454545454545,0.0,0.7071056477905596,12916.159830400258
53,6c258,35.0,11000.0,26888.29997379726,40236.40026029,0.0,0.45635942762122944,0.14062152575494047,0.909090909090909,0.18034658579168192,788.1454545454545,0.0,0.6682580896863627,12270.729185750037
665,d197d,10.0,11000.0,32859.23374884,32974.36389735064,-51292.39764080087,0.7589127951159764,0.009537647785246158,0.5,0.18011153984926487,788.1454545454545,1.5609736378168464,0.9965084952398464,24937.29292970139
420,1e974,12.0,11000.0,32041.124350262937,35352.26591014558,-10616.050598520173,0.7055606882057183,0.14543143019698038,0.5,0.17965567643520405,788.1454545454545,0.33132578253088224,0.906338632768306,22606.957747456516
358,842b0,35.0,11000.0,25509.48306515501,38644.22364940337,0.0,0.4545085474461889,0.1183245485306683,0.909090909090909,0.1795324437657769,788.1454545454545,0.0,0.6601111539097734,11594.278094046758
532,d641a,22.0,9000.0,20142.373201833565,30889.016728503877,0.0,0.4092021226315287,0.21459344204135214,0.9090909090909091,0.17908960369539953,785.1333333333333,0.0,0.6520885199704823,8242.301869026716
645,a345b,14.0,11000.0,32910.96751161343,33010.61429161343,-57151.04166055461,0.7603053408210813,0.009722462932081859,0.5,0.17778456454074806,788.1454545454545,1.736534838739927,0.9969813715334188,25022.384370668784
536,7d4b9,31.0,11000.0,24084.20201167305,28784.82455367305,0.0,0.5266467426406124,0.08708093003453636,0.909090909090909,0.17676041585581553,788.1454545454545,0.0,0.8366978915145,12683.866538546095
51,86bd0,15.0,9000.0,20456.172784743005,25499.919836180958,-18201.84620405696,0.419813240098225,0.14978381474998265,0.9090909090909091,0.17603929706345692,785.1333333333333,0.8897972458285351,0.8022053761799849,8587.77217677209
650,bc48b,21.0,11000.0,31693.555148390657,31867.944708390656,-40456.072787189325,0.7443988806610161,0.015853861198790058,0.5,0.17512966042653436,788.1454545454545,1.2764763245326114,0.9945277437376097,23592.64697663019
281,97e78,21.0,11000.0,31693.555148390657,31867.944708390656,-40456.072787189325,0.7443988806610161,0.015853861198790058,0.5,0.17512966042653436,788.1454545454545,1.2764763245326114,0.9945277437376097,23592.64697663019
278,7c122,21.0,11000.0,31693.555148390657,31867.944708390656,-40456.072787189325,0.7443988806610161,0.015853861198790058,0.5,0.17512966042653436,788.1454545454545,1.2764763245326114,0.9945277437376097,23592.64697663019
684,4ba32,21.0,11000.0,31693.555148390657,31867.944708390656,-40456.072787189325,0.7443988806610161,0.015853861198790058,0.5,0.17512966042653436,788.1454545454545,1.2764763245326114,0.9945277437376097,23592.64697663019
124,fb3f6,21.0,11000.0,31693.555148390657,31867.944708390656,-40456.072787189325,0.7443988806610161,0.015853861198790058,0.5,0.17512966042653436,788.1454545454545,1.2764763245326114,0.9945277437376097,23592.64697663019
579,08ccb,21.0,11000.0,31693.555148390657,31867.944708390656,-40456.072787189325,0.7443988806610161,0.015853861198790058,0.5,0.17512966042653436,788.1454545454545,1.2764763245326114,0.9945277437376097,23592.64697663019
275,040e0,21.0,11000.0,31693.555148390657,31867.944708390656,-40456.072787189325,0.7443988806610161,0.015853861198790058,0.5,0.17512966042653436,788.1454545454545,1.2764763245326114,0.9945277437376097,23592.64697663019
561,91ba8,21.0,11000.0,31693.555148390657,31867.944708390656,-40456.072787189325,0.7443988806610161,0.015853861198790058,0.5,0.17512966042653436,788.1454545454545,1.2764763245326114,0.9945277437376097,23592.64697663019
163,e5c6e,21.0,11000.0,31693.555148390657,31867.944708390656,-40456.072787189325,0.7443988806610161,0.015853861198790058,0.5,0.17512966042653436,788.1454545454545,1.2764763245326114,0.9945277437376097,23592.64697663019
418,1a66f,21.0,11000.0,31693.555148390657,31867.944708390656,-40456.072787189325,0.7443988806610161,0.015853861198790058,0.5,0.17512966042653436,788.1454545454545,1.2764763245326114,0.9945277437376097,23592.64697663019
498,e3d79,21.0,11000.0,31693.555148390657,31867.944708390656,-40456.072787189325,0.7443988806610161,0.015853861198790058,0.5,0.17512966042653436,788.1454545454545,1.2764763245326114,0.9945277437376097,23592.64697663019
699,a9f13,21.0,11000.0,31693.555148390657,31867.944708390656,-40456.072787189325,0.7443988806610161,0.015853861198790058,0.5,0.17512966042653436,788.1454545454545,1.2764763245326114,0.9945277437376097,23592.64697663019
385,cc59d,39.0,6000.0,15739.795612973967,20398.209547840957,-2866.1633200390975,0.6768919235799262,0.21717354101465633,0.5,0.17509827718673376,763.1833333333334,0.1820966034448746,0.7716263320101023,10654.140529220833
627,36aa2,37.0,9000.0,16342.027820042977,32781.54444737756,0.0,0.38725764932526363,0.20113500903172568,0.9090909090909091,0.17477028496171532,785.1333333333333,0.0,0.49851305347360775,6328.575278797905
288,af59b,25.0,11000.0,24831.111034513873,43302.775837387795,0.0,0.43160737369870233,0.22364294836706067,0.909090909090909,0.17437928114849302,788.1454545454545,0.0,0.5734300066065185,10717.2906196274
516,20f7a,-1.0,9000.0,20531.983756509588,23414.009716509587,0.0,0.5197651504011466,0.2756505742308469,0.9090909090909091,0.1740083126986842,785.1333333333333,0.0,0.8769101920220083,10671.809625236105
467,d52e0,25.0,11000.0,22320.222819540806,36324.93001734765,0.0,0.41972257775683225,0.18723133487369104,0.909090909090909,0.1732977420671501,788.1454545454545,0.0,0.6144601740149634,9368.301457924537
230,dc847,29.0,11000.0,21627.676028201175,43458.16851288369,0.0,0.37302203289832686,0.26932706744511675,0.909090909090909,0.17300924035609766,788.1454545454545,0.0,0.4976665323986075,8067.599678906014
523,aa90b,31.0,8000.0,19931.44013371079,22392.61153338291,-10295.186235127518,0.6845512222350002,0.21892339344380063,0.5,0.1728388791764458,739.6875,0.5165299730507122,0.8900900238454542,13644.091704435456
426,fa1af,49.0,11000.0,26502.42738555017,44888.4642182199,-2915.990916212114,0.5958687903865157,0.7455982446621499,0.5,0.17239471104579088,788.1454545454545,0.11002731462258396,0.5904061956032131,15791.969348534249
560,1351e,36.0,11000.0,19783.33723694353,30679.93652194353,0.0,0.45142303146248897,0.1400968320810687,0.909090909090909,0.1719463902629685,788.1454545454545,0.0,0.6448297969193544,8930.654067945788
76,b4483,25.0,11000.0,23556.11495061125,37946.54520461639,-3637.4461836336422,0.4309369393659912,0.1932443981797401,0.909090909090909,0.17121737276906152,788.1454545454545,0.15441621809284198,0.6207710036207862,10151.200080169878
233,5457c,27.0,11000.0,24407.991216753024,32594.11125938266,0.0,0.47336078397309433,0.11087786066112514,0.909090909090909,0.17108866069872464,788.1454545454545,0.0,0.7488466558426824,11553.785857570612
44,3bd22,22.0,11000.0,25866.074283278158,36942.39374560253,0.0,0.47365999963672095,0.17287051510067436,0.909090909090909,0.1689084007001185,788.1454545454545,0.0,0.7001732064630259,12251.72473562093
75,688fd,14.0,9000.0,15990.892215760698,19866.004456760696,0.0,0.43445318746533634,0.17348002986519048,0.9090909090909091,0.16889623628361072,785.1333333333333,0.0,0.804937512752785,6947.29409355187
123,7c3be,-1.0,8000.0,21830.64997000702,21974.977930007015,-46864.10164657043,0.7707092142981741,0.016547755454121856,0.5,0.16869359034796236,739.6875,2.146711239058695,0.9934321681478044,16825.083086002567
439,1fd10,29.0,9000.0,18275.5196905688,21679.739891360463,0.0,0.5022726527700655,0.10125523018528096,0.9090909090909091,0.16856028102407455,785.1333333333333,0.0,0.8429768891208759,9179.293755733557
644,e94fd,40.0,8000.0,20009.969431751742,27604.418240186944,-938.1331979666359,0.6568014915507678,0.3162443238432396,0.5,0.16818562025086534,739.6875,0.04688328991037886,0.7248828523624133,13142.577768659814
251,48fd7,-1.0,11000.0,27686.630830327027,29816.68802860225,-12178.11478263605,0.6914356786865185,0.1135788930041543,0.5,0.1680922865919233,788.1454545454545,0.4398554254314159,0.9285615761136206,19143.524378710255
238,4ade0,20.0,9000.0,18286.285301266274,18904.985101910548,-6876.705969688696,0.5111363383729561,0.08521661062310423,0.9090909090909091,0.16807229947292424,785.1333333333333,0.37605811439530057,0.9672731929007579,9346.784911332452
537,35602,14.0,9000.0,15617.139669395132,30383.261345328367,0.0,0.3842079312794083,0.3823413976575675,0.8432321928034678,0.16796764969040703,785.1333333333333,0.0,0.5140047176599879,6000.228924879886
140,4fe2e,30.0,9000.0,16647.174747042416,22755.570414042417,0.0,0.45458513777962367,0.1253166335575894,0.9090909090909091,0.16795298209518353,785.1333333333333,0.0,0.7315648188177026,7567.558226025749
471,3f696,28.0,9000.0,15273.712506281936,23857.637156889483,0.0,0.40028590736843594,0.18274366030477118,0.9090909090909091,0.16770935947575788,785.1333333333333,0.0,0.6402022298285844,6113.851869461692
446,7add2,10.0,9000.0,24966.209761404476,25050.1490639999,-33596.67296362776,0.7492128346367148,0.013797473581752217,0.5,0.16638425940901566,785.1333333333333,1.345685760261664,0.9966491495766764,18705.004785476667
704,8f40f,10.0,9000.0,24047.416642466582,32522.596547895846,-528.0225492779949,0.6458696073193922,0.4976206921487962,0.5,0.16595662174107925,785.1333333333333,0.021957558149740396,0.7394064187664747,15531.49554391571
207,6f3b0,11.0,9000.0,19459.07789654727,29135.077315258073,0.0,0.4164846608579763,0.5783196993651731,0.855060997006792,0.1657673175685906,785.1333333333333,0.0,0.667891754189941,8104.407458352433
491,f3df5,32.0,11000.0,21223.069127999806,31175.646847370946,0.0,0.4880554671261127,0.09926043744909348,0.909090909090909,0.16491229050476236,788.1454545454545,0.0,0.6807579400646679,10358.034917115727
546,f21b0,13.0,9000.0,24369.850769642584,27460.511681985856,-32352.871383158443,0.7183722974205988,0.13202123256217752,0.5,0.1639146245286386,785.1333333333333,1.327577738943739,0.8874507165731093,17506.625685185292
256,9fac7,16.0,11000.0,25663.822199869042,29038.646457759074,0.0,0.6221334989387602,0.18363319790710433,0.6666666666666667,0.16317422062784478,788.1454545454545,0.0,0.8837816265713623,15966.323501346758
210,301f1,14.0,9000.0,13806.865065926793,32800.05479011486,0.0,0.3312751781314175,0.6401011018132916,0.8637026907128034,0.16306996291861708,785.1333333333333,0.0,0.4209403049560712,4573.871684151343
480,47a74,34.0,11000.0,16522.615149677516,31742.57963843392,0.0,0.4251338694596697,0.13723504451493804,0.909090909090909,0.16269441358201583,788.1454545454545,0.0,0.5205189791718103,7024.323312175362
171,dfc6a,32.0,11000.0,21226.487853686704,36692.83564508671,0.0,0.41352423607639927,0.2675575633403149,0.909090909090909,0.16261854056382039,788.1454545454545,0.0,0.5784913452588122,8777.667174280761
323,43e29,23.0,11000.0,29225.285817141343,35840.747750312075,-272.1521277170853,0.7013217389446488,0.18244309223428748,0.5,0.16162336458588675,788.1454545454545,0.009312214409806095,0.8154206497236618,20496.328270431946
565,62d06,16.0,11000.0,18725.670266906076,30282.96831590608,0.0,0.4320700738501659,0.1334021997699295,0.909090909090909,0.16141816654857097,788.1454545454545,0.0,0.618356498991892,8090.801735115963
