,strat_name,gs,s_k,s_f_equ_long,s_gain,s_loss,low_equ_bal,pa_dist_mean_long,l_we,adg_exposure,n_days,ratio_loss,ratio_dist,krishn_ratio
687,57123,-1.0,11000.0,84472.4426154678,129750.69210822611,0.0,0.30322173997020435,0.27610887312672655,1.0,0.29314525906646316,788.1454545454545,0.0,0.6510365474197906,25613.881029395383
468,e0a8a,16.0,9000.0,57841.2507300227,73041.1793798233,0.0,0.44493627575518807,0.16320454100715676,0.9090909090909091,0.28422785927547856,785.1333333333333,0.0,0.7918991892127171,25735.670684838355
588,fafe9,15.0,11000.0,57849.92758222045,94799.50305126292,0.0,0.3869586283802633,0.2285126044718366,0.909090909090909,0.2778687199826273,788.1454545454545,0.0,0.6102345025051245,22385.528629113585
353,180aa,-1.0,11000.0,64288.15475161226,89962.14930299936,0.0,0.3653762547717873,0.2669756794079588,1.0,0.27512865065526815,788.1454545454545,0.0,0.7146133707308934,23489.36520933317
361,61111,16.0,9000.0,47229.460476320615,57815.674554320605,0.0,0.441484314271801,0.1636768293487768,0.9090909090909091,0.26900005055669307,785.1333333333333,0.0,0.8168971622383523,20851.065971815537
220,845e8,16.0,9000.0,44282.79693758403,57707.07145763733,0.0,0.400555444525776,0.19652231029451855,0.9090909090909091,0.2685258253168077,785.1333333333333,0.0,0.767372105688849,17737.715412178644
193,5e932,15.0,11000.0,52361.35121696287,63809.31412779491,0.0,0.48355102158869023,0.09665046163730727,0.909090909090909,0.26575220517260567,788.1454545454545,0.0,0.8205910364762032,25319.3848727266
342,ae67f,16.0,11000.0,61947.2278431701,74581.98258693932,0.0,0.4646707177466016,0.17224288798529122,0.909090909090909,0.2655841771425046,788.1454545454545,0.0,0.8305923990550795,28785.062824298115
445,b1ea8,-1.0,8000.0,36584.05132786303,36634.28917369381,-76337.80388981225,0.7803676293672813,0.009242644869238474,0.5,0.26467185623917916,739.6875,2.086641613463736,0.9986286660130735,28549.009407375415
313,d4d2b,16.0,11000.0,49922.05057863907,70690.03685999922,0.0,0.4037397118880157,0.207906494951005,0.909090909090909,0.2575663026748003,788.1454545454545,0.0,0.7062105608674261,20155.514317478686
605,20021,14.0,9000.0,10812.472757946369,60591.02335600629,0.0,0.2119636879180549,1.3171857775874143,0.9090909090909091,0.2548740910793332,785.1333333333333,0.0,0.1784500765801069,2291.8516012878144
