,uid,strat,symbol,n_days,h_stuck_avg_l,h_stuck_max_l,pa_distance_mean_long,l_gridspan,l_eqbal_ratio_min_long,profit_sum_long,loss_sum_long,l_ratio_loss_profit,l_adg %,total adg %,total gain %,total gain $,bkr Long
2700,180aa,/krishna_nx/MATICUSDT/config.json,MATICUSDT,638.7069444444444,0.19059004422119716,419.1333333333333,0.01691652537444234,0.0,0.600044876715072,22164.78289860691,0.0,0.0,0.5410971342535805,0.5410971342535805,2216.4782898606904,21823.672371445897,0.9977184965630344
4997,0c59c,/flyingtoaster/1m/test_phase/0.1.1_auenabled_short/WAVESUSDT_20220803020858_d35d9/config.json,MATICUSDT,638.7076388888889,1.040169867227613,2029.3,0.26363726898355583,29.259093346655142,0.30139129806493686,23856.479060000027,0.0,0.0,0.5387704238118524,0.5387704238118524,2385.647906000003,22881.023889036467,1.0
1071,57123,/krishna_nx/strat_shared_recursive/config.json,DOGEUSDT,742.6243055555556,0.36475417664354076,283.18333333333334,0.008076230912414136,0.0,0.5450729505405902,45722.311392140924,0.0,0.0,0.5369547976175606,0.5369547976175606,4572.231139214093,44706.23393258565,0.9945748182991773
962,c9d35,/flyingtoaster/1m/audisabled/1.7/HNTUSDT_20220726144831_522de/config.json,MATICUSDT,638.7076388888889,1.1310398681718683,2021.2833333333333,0.1787996999971381,14.92054688508615,0.3309521646623983,22052.21500000002,0.0,0.0,0.5300837867812842,0.5300837867812842,2205.221500000002,21553.788687449833,1.0
4160,57196,/flyingtoaster/1m/audisabled/1.4/GMTUSDT_20220721074803_ad155/config.json,MATICUSDT,638.7076388888889,0.4998364201556454,682.0333333333333,0.0437091522304294,14.614989288199281,0.5639607762913814,20954.162060000002,0.0,0.0,0.5289866069362019,0.5289866069362019,2095.416206,19423.456987026522,1.0
5420,1f403,/flyingtoaster/1m/test_phase/1.9test_phase/MANAUSDT_20220729213838_f8f2b/config.json,MATICUSDT,638.7076388888889,0.657698688519901,422.0833333333333,0.03203411077776376,12.373281504074802,0.5566096530879056,19427.73408999999,0.0,0.0,0.5167913974688924,0.5167913974688924,1942.773408999999,18599.17384792871,1.0
4520,9be0b,/flyingtoaster/1m/5.7.0/ENJUSDT_20220718170718_17e47/config.json,MATICUSDT,638.7076388888889,0.37895190065346546,4450.516666666666,0.4335674143316626,12.559027773772073,0.22281325293752957,33476.722439999976,0.0,0.0,0.5032952402731549,0.5032952402731549,3347.672243999998,31454.16586854456,1.0
4637,41655,/flyingtoaster/1m/5.7.0/MANAUSDT_20220717071307_ad2c7/config.json,MATICUSDT,638.7076388888889,0.41651450515809396,419.75,0.03578407869084534,14.410430540124153,0.5618171650963126,15991.601560000021,0.0,0.0,0.48850689304944317,0.48850689304944317,1599.1601560000022,15115.952034196811,1.0
4763,e0a8a,/flyingtoaster/1m/5.7.0/SOLUSDT_20220713182404_b9c8f/config.json,MATICUSDT,638.7076388888889,1.5359702738810954,296.73333333333335,0.02831236907193988,16.470027171720044,0.5994474978209532,17292.37696,0.0,0.0,0.48701365878130054,0.48701365878130054,1729.2376960000001,16951.789480786127,1.0
764,fafe9,/flyingtoaster/1m/audisabled/1.5/HNTUSDT_20220723093109_e541e/config.json,MATICUSDT,638.7076388888889,2.3148570421826236,2021.2166666666667,0.1514250993793307,15.094453742439748,0.33445727790726165,18219.566569999995,0.0,0.0,0.4763254288034372,0.4763254288034372,1821.9566569999995,17983.934735656927,1.0
