,strat,gs,s_f_equ_long,s_loss,low_equ_bal,pa_dist_mean_long,l_we,adg_exposure,n_days,avg_max_stuck,avg_hrs_stuck_avg,most_loss
54,b8d04,-1.0,56871.67457374603,0.0,0.588568875449782,0.9911737722840998,0.5,0.2731344823911059,870.1454545454545,8529.2,6.680793292187386,823.4591720767925
1092,57123,-1.0,70546.44298795302,0.0,0.30322173997020435,0.3637780444068777,1.0,0.25358072509820506,870.1454545454545,4630.277272727273,0.7588490474724597,2724.143245316336
966,fafe9,15.0,50240.41406547904,0.0,0.3868152972748863,0.3216893271184241,0.909090909090909,0.24222590428493201,870.1454545454545,4921.954545454545,5.4833969286073865,1935.5111845468052
545,180aa,-1.0,62721.93971484328,0.0,0.3653762547717873,0.3489298961596093,1.0,0.2413947695912152,870.1454545454545,4005.695454545454,0.6786139446182642,1739.977469012574
119,25dbd,-1.0,64715.500427508974,0.0,0.2946307489572615,0.5650045255830958,1.0,0.23838749394993092,870.1454545454545,5221.5287878787885,2.136246750747688,2296.8212133101506
736,e0a8a,16.0,57831.54759734411,0.0,0.44295105880338564,0.20624019533876875,0.909090909090909,0.23768381330416438,870.1454545454545,3462.1015151515153,4.603746861541769,1711.5717340142803
284,5e932,15.0,48836.09844474586,0.0,0.48322189992640463,0.12989855737326647,0.909090909090909,0.2335457061116516,870.1454545454545,2774.665151515152,5.123065061658635,1358.3706658809995
529,ae67f,16.0,55055.227938421864,0.0,0.4642977634878345,0.2323378893407437,0.909090909090909,0.22921259542689068,870.1454545454545,3801.443939393939,5.7216820186362725,933.601840353845
549,ec12d,-1.0,52106.8117189309,0.0,0.48000654760887485,0.07229090893426747,1.0,0.22805065549982492,870.1454545454545,2086.5000000000005,3.0195902245835837,1162.6936330275414
895,fd9b5,-1.0,54830.99090743907,0.0,0.3306490871120246,0.46205401869351764,1.0,0.22782795653737004,870.1454545454545,4737.942424242424,2.4234265013371505,1990.1074717359954
482,d4d2b,16.0,47828.54493934037,0.0,0.40341328012780586,0.2794472809504835,0.909090909090909,0.22762861174683618,870.1454545454545,3972.5954545454542,3.1418321778078337,1123.4562084999966
910,fe4fb,-1.0,50296.14110841736,-61803.21391280174,0.760930150289483,0.013617015397395703,0.5,0.22742591043709037,870.1454545454545,99.93787878787879,1.6304195465409344,251.35927130000192
361,cf1c8,-1.0,52292.28348615473,0.0,0.5313785675839381,0.05033289566165351,1.0,0.22620381753899285,870.1454545454545,1629.071212121212,2.4959724303421797,1006.5990021204549
13,863e3,-1.0,58173.97762118126,0.0,0.4869676810160959,0.11172249594989649,1.0,0.22485061752691723,870.1454545454545,2431.913636363636,2.1311635058849188,1109.9405936436945
451,48df3,-1.0,38544.5739399211,-187690.00239091285,0.7332498210550736,0.0297175188959154,0.5,0.22342251665529747,870.1454545454545,173.19242424242424,2.97990371225778,186.01771085262405
558,61111,16.0,46542.181435737584,0.0,0.44000897628807767,0.2152575693655428,0.909090909090909,0.22223383226651636,870.1454545454545,3568.922727272726,3.0551133157852375,1677.0563987480004
329,845e8,16.0,45327.7290253783,0.0,0.3975195891568493,0.2584624486976239,0.909090909090909,0.22187766048475027,870.1454545454545,3721.6954545454546,6.408571952788813,1185.134584595122
494,5202e,-1.0,52805.71942699634,0.0,0.347516803326574,0.46991791712784714,1.0,0.21702639449354552,870.1454545454545,4518.424242424242,1.5028474882535987,1835.4370530498138
1047,4a527,15.0,43759.00791220016,0.0,0.5003912107226383,0.1402687766550606,0.870136943662035,0.21612541847496033,870.1454545454545,2884.3227272727277,2.9341802065200655,1314.710818361999
1199,ccc66,38.0,35623.31358433185,0.0,0.22516245455769782,0.6103660209314702,1.0,0.21581560636692557,870.1454545454545,6572.659090909092,10.903165516384648,1768.57076402151
1057,86f0c,-1.0,81863.62392600316,-178177.43542940254,0.5508857810526067,0.0077135210742988874,1.0,0.21429044859053875,870.1454545454545,79.66818181818181,0.8256316671225101,415.96146541400356
991,20021,14.0,10997.691163535219,0.0,0.20953359948332395,1.6468479512096323,0.909090909090909,0.21397168035289854,870.1454545454545,10139.686363636363,7.803075220690638,2113.7916562000046
159,c9d35,14.0,33120.30714906581,0.0,0.2991502423878582,0.7843112250400025,0.909090909090909,0.2135851164346489,870.1454545454545,7027.292424242423,2.716725119883388,1750.3680830050994
165,32cbc,-1.0,42807.570338171696,-42534.74358812337,0.721370944769413,0.03374708631035346,0.5,0.21260399485739734,870.1454545454545,500.78333333333336,8.01882910214578,192.55513739999995
593,1b20f,-1.0,49125.43506992081,0.0,0.4995617145235151,0.10399627810865364,1.0,0.21210875951203106,870.1454545454545,1908.5863636363638,2.6887084984268492,1001.7861754269999
819,9be0b,12.0,29475.27908128458,0.0,0.2678972839796187,0.9017116770206446,0.909090909090909,0.21209079747793583,870.1454545454545,7653.787878787879,0.9437233709275464,1540.0105358590006
1003,2829f,-1.0,43683.58759999909,-59931.862810464154,0.7687747144217633,0.011789792393872796,0.5,0.21039618828633513,870.1454545454545,114.38939393939394,1.6071704409792311,179.44354030000142
233,8d407,17.0,42068.68511244423,0.0,0.4166742183143217,0.2269504282429402,0.909090909090909,0.2095759078756789,870.1454545454545,3385.0803030303027,2.7406089975433408,1351.594759699999
48,41655,14.0,45054.58953521967,0.0,0.36959718174699624,0.5185828331130392,0.909090909090909,0.20901217789033366,870.1454545454545,5212.05606060606,0.9902279169795001,1384.7292974999862
625,ad2a0,-1.0,45213.18623386736,0.0,0.383597244762457,0.2467286535887008,1.0,0.20770585084932994,870.1454545454545,3955.574242424242,1.7331568585651036,1708.7801830408857
310,aed34,-1.0,38088.77480472194,0.0,0.6074765351485586,0.8014276891974387,0.5,0.20721969086273279,870.1454545454545,6455.240909090909,2.256290135535046,1131.4319932409962
256,fd8e3,14.0,46982.51768344119,0.0,0.43830400217561727,0.4081437246734796,0.8968838435552495,0.20680703517853238,870.1454545454545,4989.177272727273,2.4877000519403625,766.5143565889992
114,60da1,-1.0,47230.89557184551,0.0,0.47127534531105914,0.11586622681575252,1.0,0.2053237697216849,870.1454545454545,2748.5409090909093,2.7466508076825566,1103.4085682869998
347,a3593,16.0,40533.24608296462,0.0,0.43013916223007076,0.2503983939222802,0.909090909090909,0.20517825339946805,870.1454545454545,3635.8196969696965,3.7840175975541546,1625.7177717999944
161,079f5,13.0,43186.395512624746,0.0,0.36988899134521075,0.4862162594428844,0.8972343762819659,0.2044982426086167,870.1454545454545,5619.925757575757,3.342846629684193,1460.0246147762675
259,7b488,16.0,40461.8088099764,0.0,0.6446522124369548,0.4687469826445334,0.5,0.20342166819227908,870.1454545454545,5203.796969696969,4.813101323235918,714.606167899999
832,44ae4,10.0,40148.55638148858,-25644.314964918045,0.7363567141967843,0.01855243727640441,0.5,0.20179445659707315,870.1454545454545,126.76212121212122,1.606294624449663,261.9805179349974
226,741a8,16.0,36676.369504118404,0.0,0.4488920427638446,0.23826514326908066,0.8620689655172413,0.20150772568841283,870.1454545454545,3717.674242424242,4.25325782638157,1506.2598602620014
912,0c59c,29.0,27756.35605899487,0.0,0.2625416194334028,0.9293575168165991,0.909090909090909,0.20098854704276345,870.1454545454545,8320.084848484847,2.667407931330565,1692.6000254510077
1114,25573,14.0,39831.25972730003,0.0,0.6518191773354567,0.4704475879228797,0.5,0.20039419369760647,870.1454545454545,5191.036363636364,1.455171133893944,765.8270211999951
814,13717,-1.0,42730.80506087438,0.0,0.3869287810900089,0.2640544730999838,1.0,0.20025946675875747,870.1454545454545,3554.7121212121215,4.80159653598814,1064.981728128145
883,59504,-1.0,39792.00762665581,0.0,0.43642351144235825,0.13522597738751674,1.0,0.19975597922719554,870.1454545454545,2546.707575757576,2.3782957422173165,997.3125953330002
694,b3b0a,-1.0,37064.65156001439,0.0,0.61159807467678,0.7584924020730134,0.5,0.1995515005332069,870.1454545454545,6916.348484848486,4.427073533466681,771.5576080999984
434,99341,15.0,29416.890166100893,0.0,0.3306004694072244,0.5757338063892703,0.909090909090909,0.19889942400323954,870.1454545454545,5639.180303030303,4.8774932814342415,2118.65352065
151,ca119,46.0,43201.05544564137,-3014.7153753352195,0.5840730413230638,0.15243083732260224,0.909090909090909,0.19723924793532374,870.1454545454545,2753.8196969696965,61.27477071031897,382.36226645349257
681,c120f,26.0,32174.991663289955,-1985.956764559242,0.576605829446884,1.3560088287172498,0.5,0.19643169095148202,870.1454545454545,5732.586363636365,4.746464794959718,1028.1338578239227
1016,8e00c,25.0,32360.271355950288,-8963.008759124983,0.39700539475690316,0.3031045799510172,0.909090909090909,0.19608584173685062,870.1454545454545,2063.6424242424246,1.9516344355072683,991.6246729298839
754,fc1fc,-1.0,35410.32381717329,0.0,0.6118544575162335,0.7859286648507848,0.5,0.19529031294910365,870.1454545454545,6928.481818181818,3.702657281298772,819.6984505999991
