,uid,strat,symbol,n_days,h_stuck_avg_l,h_stuck_max_l,pa_distance_mean_long,l_gridspan,l_eqbal_ratio_min_long,profit_sum_long,loss_sum_long,l_ratio_loss_profit,l_adg %,total adg %,total gain %,total gain $,bkr Long
4,78000,/MDCL/Update_0.2/MATICUSDT_0.2/config.json,MATICUSDT,638.7076388888889,1.4846472962066182,127.6,0.01516240959979398,24.249811981717563,0.8700303511301724,2178.033897008359,-87.03707700835942,-0.039961305068717846,0.17383920656780563,0.17383920656780563,209.09968199999994,1998.6916617060597,1.0
3,eb1ed,/MDCL/Update_0.2.1/AVAXUSDT_0.2.1/config.json,AVAXUSDT,667.7083333333334,1.245821348052554,55.21666666666667,0.011354212692269217,20.519765729947864,0.8405409404022565,1936.1657082759048,-481.5263882759016,-0.24870102089799215,0.13372563736612186,0.13372563736612186,145.4639320000003,1360.9511922879328,1.0
0,57f1e,/MDCL/Update_0.2.1/DOTUSDT_0.2.1/config.json,SOLUSDT,676.7083333333334,0.6675297986025484,254.6,0.01667595736922863,20.66420855128179,0.8401612084736048,1687.400603767772,-415.6009837677742,-0.2462965716853395,0.11895953331512955,0.11895953331512955,127.17996199999976,1200.4891345879528,1.0
2,21de8,/MDCL/Update_0.2.3/DOTUSDT_20220805110939_7de7b/config.json,AVAXUSDT,667.7083333333334,1.0288263995891116,76.01666666666667,0.018173745167348966,24.253452993759396,0.8094807927425788,1073.118130281879,-37.86449028188405,-0.03528454996090512,0.10559693012443096,0.10559693012443096,103.5253639999995,991.1779454239936,1.0
1,21de8,/MDCL/Update_0.2.3/DOTUSDT_20220805110939_7de7b/config.json,DOGEUSDT,742.625,1.4141870983099263,258.68333333333334,0.012158417244427329,24.253452993759396,0.8266946701334955,1116.6726667289392,-17.564061728936988,-0.015728925989016335,0.10024030173370023,0.10024030173370023,109.91086050000023,1059.4722355145136,1.0
