,uid,info,stars,categ,bt_coin,bt_days,bt_l_adg,bt_s_adg,long,l_AU,l_gspan,l_TP,short,s_AU,s_gspan,s_TP
85,336f5,/flyingtoaster/1m/5.7.0/MANAUSDT_20220715083342_969fe,5.0,flyingtoaster,MANAUSDT,482,0.339,0.514,True,False,36.0,0.2% /2.87%/,True,False,15.0,0.59% /0.67%/
219,1e355,/flyingtoaster/1m/test_phase/0.1.5_scalper_auenabled/DOTUSDT_20220810060826_615ed,6.0,flyingtoaster,DOTUSDT,710,0.339,0.0833,True,True,14.0,0.3% /0.19%/,True,True,44.0,0.2% /0.29%/
44,78000,/MDCL/Update_0.2/MATICUSDT_0.2,6.0,MDCL,MATICUSDT,635,0.337,0.0931,True,True,24.0,0.3% /0.18%/,True,True,46.0,0.28% /0.19%/
326,dc847,/flyingtoaster/1m/0.1_auenabled_short/HNTUSDT_20220731004348_49308,6.0,flyingtoaster,HNTUSDT,664,0.336,0.146,True,False,29.0,0.2% /0.3%/,True,True,45.0,0.2% /0.3%/
91,aaea8,/flyingtoaster/1m/5.7.0/SANDUSDT_20220716222523_a0560,5.0,flyingtoaster,SANDUSDT,531,0.336,0.238,True,False,14.0,0.3% /0.06%/,True,False,19.0,0.3% /0.0%/
42,89eb3,/MDCL/Update_0.2.2/MATICUSDT_20220731135249_d0915,6.0,MDCL,MATICUSDT,643,0.335,0.105,True,True,25.0,0.2% /0.25%/,True,True,42.0,0.2% /0.28%/
40,14088,/MDCL/Update_0.2.2/MATICUSDT_20220729133412_3d314,6.0,MDCL,MATICUSDT,643,0.334,0.109,True,True,25.0,0.2% /0.3%/,True,True,35.0,0.2% /0.3%/
52,43e29,/MDCL/Update_0.2.3/MATICUSDT_20220802215702_c3523,6.0,MDCL,MATICUSDT,648,0.332,0.109,True,True,23.0,0.2% /0.29%/,True,True,33.0,0.2% /0.3%/
107,4eb7a,/flyingtoaster/1m/5.7.0/SANDUSDT_20220713151530_949a2,6.0,flyingtoaster,SANDUSDT,531,0.332,0.259,True,False,26.0,0.2% /1.3%/,True,False,34.0,0.96% /1.7%/
276,03358,/flyingtoaster/1m/test_phase/0.1.3_auenabled_longshort/MATICUSDT_20220820070908_9d6a9,6.0,flyingtoaster,MATICUSDT,649,0.331,0.115,True,True,28.0,0.15% /0.19%/,True,True,48.0,0.15% /0.19%/
344,e5b3d,/flyingtoaster/1s/testing/0.1.4a_40%grid_1sdata_auenabled_longshort/MATICUSDT_20220830183048_cca9f,7.0,flyingtoaster,MATICUSDT,649,0.33,0.134,True,True,40.0,0.2% /0.19%/,True,True,46.0,0.2% /0.28%/
400,89257,/flyingtoaster/1s/0.1.2_auenabled_longshort/HNTUSDT_20220805010112_a7190,6.0,flyingtoaster,HNTUSDT,671,0.33,0.157,True,True,29.0,0.2% /0.3%/,True,True,38.0,0.2% /0.01%/
305,89257,/flyingtoaster/1m/0.1.2_auenabled_longshort/HNTUSDT_20220805010112_a7190,6.0,flyingtoaster,HNTUSDT,671,0.33,0.157,True,True,29.0,0.2% /0.3%/,True,True,38.0,0.2% /0.01%/
200,1234a,/flyingtoaster/1m/test_phase/0.1.3_widegrid_auenabled_longshort/MANAUSDT_20220808181521_1a897,5.0,flyingtoaster,MANAUSDT,505,0.33,0.226,True,True,20.0,0.28% /0.19%/,True,True,24.0,0.29% /0.2%/
5,dfd5b,/dotcom87/v0.1/GRTUSDT_20220730064655_4661b,5.0,dotcom87,GRTUSDT,586,0.329,0.296,True,True,16.0,0.2% /0.24%/,True,True,21.0,0.2% /0.29%/
143,c8424,/flyingtoaster/1m/audisabled/1.7/MANAUSDT_20220726144831_522de,5.0,flyingtoaster,MANAUSDT,496,0.329,0.451,True,False,37.0,0.2% /2.25%/,True,False,15.0,0.96% /0.32%/
217,86bd0,/flyingtoaster/1m/test_phase/tight_02_auenabled/DOTUSDT_20220818034828_7800f,5.0,flyingtoaster,DOTUSDT,710,0.329,0.245,True,True,15.0,0.3% /0.05%/,True,True,23.0,0.3% /0.01%/
