,uid,info,stars,categ,bt_coin,bt_days,bt_l_adg,bt_s_adg,long,l_AU,l_gspan,l_TP,short,s_AU,s_gspan,s_TP
242,29146,/flyingtoaster/1m/test_phase/replicate_original/MATICUSDT_20220816234217_94969,7.0,flyingtoaster,MATICUSDT,649,0.476,0.138,True,True,30.0,0.2% /2.76%/,True,True,45.0,0.28% /0%/
61,d197d,/flyingtoaster/1m/mdcl_hardcore_scalp/XRPUSDT_20220818203915_b4260,5.0,flyingtoaster,XRPUSDT,939,0.471,0.221,True,True,10.0,0.3% /0.19%/,True,True,12.0,0.3% /0.03%/
103,d10ea,/flyingtoaster/1m/5.7.0/MATICUSDT_20220713182404_b9c8f,6.0,flyingtoaster,MATICUSDT,626,0.471,0.238,True,False,23.0,0.2% /2.56%/,True,False,48.0,0.95% /2.9%/
234,473b4,/flyingtoaster/1m/test_phase/MATICUSDT_20220820042942_14560,6.0,flyingtoaster,MATICUSDT,649,0.471,0.134,True,True,25.0,0.15% /0.06%/,True,True,35.0,0.15% /0.2%/
227,7c292,/flyingtoaster/1m/test_phase/1.9test_phase/MATICUSDT_20220729213838_f8f2b,5.0,flyingtoaster,MATICUSDT,640,0.471,0.223,True,False,11.0,0.29% /0.2%/,True,False,18.0,0.29% /0.2%/
176,0357d,/flyingtoaster/1m/audisabled/1.4/ENJUSDT_20220721074803_ad155,5.0,flyingtoaster,ENJUSDT,649,0.467,0.277,True,False,12.0,0.2% /0.08%/,True,False,29.0,0.97% /2.7%/
123,e0a8a,/flyingtoaster/1m/5.7.0/SOLUSDT_20220713182404_b9c8f,6.0,flyingtoaster,SOLUSDT,664,0.466,0.164,True,False,16.0,0.2% /0.99%/,True,False,43.0,0.92% /3.0%/
70,c83fa,/flyingtoaster/1m/mdcl_hardcore_scalp/CHZUSDT_20220818203915_b4260,5.0,flyingtoaster,CHZUSDT,558,0.466,0.25,True,True,14.0,0.3% /0.2%/,True,True,16.0,0.3% /0.2%/
204,ceb0f,/flyingtoaster/1m/test_phase/tight_02_auenabled/SOLUSDT_20220818034828_7800f,5.0,flyingtoaster,SOLUSDT,687,0.462,0.208,True,True,14.0,0.3% /0.11%/,True,True,25.0,0.3% /0.19%/
119,845e8,/flyingtoaster/1m/5.7.0/SOLUSDT_20220715083342_969fe,6.0,flyingtoaster,SOLUSDT,664,0.459,0.168,True,False,16.0,0.2% /1.46%/,True,False,56.0,0.98% /2.75%/
124,845e8,/flyingtoaster/1m/5.7.0/SOLUSDT_20220716051312_e271d,6.0,flyingtoaster,SOLUSDT,664,0.459,0.168,True,False,16.0,0.2% /1.46%/,True,False,56.0,0.98% /2.75%/
211,32714,/flyingtoaster/1m/test_phase/tight_02_auenabled/MANAUSDT_20220818034828_7800f,5.0,flyingtoaster,MANAUSDT,505,0.455,0.372,True,True,17.0,0.3% /0.03%/,True,True,16.0,0.3% /0.19%/
