,uid,symbol,n_days,h_stuck_avg_l,h_stuck_max_l,h_stuck_avg_s,h_stuck_max_s,l_adg %,s_adg %,total adg %,total gain %,total gain $,bkr Long,bkr_Short,strat
473,5e932,MATICUSDT,567.9986111111111,1.283370991024917,298.46666666666664,27.04755291005291,12006.05,0.5685438153940966,0.2931326301987284,0.861676445592825,1697.245246000001,16710.089634818025,1.0,0.11983608721372051,/flyingtoaster/audisabled/1.5/NEARUSDT_20220723093109_e541e/config.json
121,c7713,MATICUSDT,567.9986111111111,2.5380686402283867,1793.8833333333334,18.007881990312637,12006.066666666668,0.3811368672624122,0.40759416638871143,0.7887310336511236,690.0959143083248,6836.555578439258,1.0,0.0728131990028169,/flyingtoaster/audisabled/1.7/XLMUSDT_20220726144831_522de/config.json
242,5986e,MATICUSDT,567.9986111111111,0.7244495225948168,294.45,29.764119359534206,12006.066666666668,0.4192044215362428,0.3310008046208352,0.750205226157078,804.1008540000004,7810.573591759981,1.0,0.10135148772121835,/flyingtoaster/audisabled/1.7/NEARUSDT_20220726144831_522de/config.json
418,cf6c0,MATICUSDT,567.9993055555556,0.3932151648013538,400.5833333333333,3.4441595081691094,12006.083333333334,0.30587081972456964,0.4094736480289222,0.7153444677534919,411.3455580000002,3958.3917801340485,1.0,0.07108283412631904,/flyingtoaster/0.1_auenabled_short/NEARUSDT_20220731004348_49308/config.json
1133,81145,MATICUSDT,567.9986111111111,1.8787164645350973,1825.2166666666667,9.807170263788969,12006.066666666668,0.32357716695385613,0.3886681455734496,0.7122453125273057,470.2202859999998,4653.6230145049985,1.0,0.0782169114622177,/flyingtoaster/audisabled/1.5/XLMUSDT_20220723093109_e541e/config.json
396,6f8a4,MATICUSDT,567.9986111111111,1.9060356077554064,1222.1833333333334,7.847994626751103,12006.083333333334,0.3531787833517947,0.3578764632876502,0.7110552466394449,516.3782780000004,5103.428385547007,1.0,0.08937353407126976,/flyingtoaster/audisabled/1.5/ADAUSDT_20220723093109_e541e/config.json
627,1bcb7,MATICUSDT,567.9986111111111,2.85306962466862,1791.6,13.338519243313764,12006.066666666668,0.38268265971031806,0.3204185508856047,0.7031012105959228,699.2612630000001,6941.862676397029,1.0,0.10509737593158518,/flyingtoaster/audisabled/1.5/SANDUSDT_20220723093109_e541e/config.json
561,842b0,MATICUSDT,567.9986111111111,2.603010629495258,1207.6,13.430509031198687,11060.366666666667,0.40488736541770587,0.24281857863496986,0.6477059440526758,718.2423536510263,7119.631043045258,1.0,0.15414750140562986,/flyingtoaster/audisabled/1.5/ENJUSDT_20220723093109_e541e/config.json
517,a3593,MATICUSDT,567.9986111111111,0.6449033336487211,296.73333333333335,6.662740306288693,9926.016666666666,0.5904899585504404,0.05673872264275016,0.6472286811931905,1990.4211223414627,19350.818909770645,1.0,0.6618403726890743,/flyingtoaster/audisabled/1.5/XMRUSDT_20220723093109_e541e/config.json
46,ae67f,DOGEUSDT,567.9986111111111,1.383113501082251,344.0833333333333,11.731468732071143,9428.716666666667,0.4893372102843332,0.10284095212367476,0.5921781624080079,1143.9314036999997,11271.680587285713,1.0,0.27707667574131,/flyingtoaster/audisabled/1.7/SOLUSDT_20220726144831_522de/config.json
605,7d563,MATICUSDT,567.9986111111111,2.2837940470207183,1825.1166666666666,25.058762254901957,12006.066666666668,0.21639470772122235,0.30223322182079543,0.5186279295420178,235.55397200000007,2328.5874288450023,1.0,0.11385256398594237,/flyingtoaster/audisabled/1.7/SANDUSDT_20220726063439_d6df6/config.json
528,e9a14,MATICUSDT,567.9986111111111,3.2188823297914206,2021.2833333333333,6.614248746563157,12006.066666666668,0.23026922021561852,0.2826125433236738,0.5128817635392924,297.0566680000002,2940.3855835080103,1.0,0.13024116891575652,/flyingtoaster/audisabled/1.7/EOSUSDT_20220726144831_522de/config.json
506,8a161,MATICUSDT,567.9986111111111,2.4277767883644996,402.1333333333333,6.034513796665191,289.75,0.45118301080415285,0.01722321170730176,0.4684062225114546,1076.0158830000003,10648.036659197001,1.0,1.0,/flyingtoaster/audisabled/1.7/MATICUSDT_20220726144831_522de/config.json
599,22df0,BNBUSDT,567.9986111111111,1.4259379358437936,254.35,30.702627627627628,12351.533333333333,0.07337262181958457,0.3664350592896437,0.4398076811092283,44.64339319073263,426.405663787353,1.0,0.09764691155308984,/flyingtoaster/0.1_auenabled_short/LINKUSDT_20220731004348_49308/config.json
261,fafe9,AVAXUSDT,567.9986111111111,2.3471016988062443,2195.7166666666667,132.34919093851133,8407.966666666667,0.29405401828919464,0.14404281711017308,0.4380968353993677,562.094835,5549.441855567013,1.0,0.1260382450342434,/flyingtoaster/audisabled/1.5/HNTUSDT_20220723093109_e541e/config.json
836,62d06,MATICUSDT,567.9986111111111,0.5560663539329662,1821.4666666666667,2.456652850363429,9915.85,0.3781129380151406,0.04552965714673345,0.4236425951618741,584.9599020000002,5687.122976671992,1.0,0.8206796559445109,/flyingtoaster/audisabled/1.7/EGLDUSDT_20220726144831_522de/config.json
737,2b2f1,MATICUSDT,567.9986111111111,3.682324869439942,127.5,20.285664682539682,11060.366666666667,0.19246724815879937,0.22941983042831957,0.42188707858711894,187.73970273273272,1857.5049533713286,1.0,0.16251727235811964,/flyingtoaster/audisabled/1.7/LINKUSDT_20220726144831_522de/config.json
638,d0046,MATICUSDT,567.9993055555556,0.3845953825175154,400.46666666666664,2.962186730407069,2618.5333333333333,0.2822462959704367,0.13806171957822982,0.42030801554866654,328.88157500000074,3161.0710564411347,1.0,0.2701974120368283,/flyingtoaster/0.1_auenabled_short/SOLUSDT_20220731004348_49308/config.json
66,6c258,MATICUSDT,567.9986111111111,2.828795739088331,1797.6333333333334,11.621454958795113,9916.033333333333,0.3622872062871581,0.056783431139589405,0.4190706374267475,639.6515071007194,6340.539971032205,1.0,0.8152087967237391,/flyingtoaster/audisabled/1.7/ENJUSDT_20220726144831_522de/config.json
990,d4284,MATICUSDT,567.9986111111111,0.7490503141198235,1797.5666666666666,8.009381120250685,9916.033333333333,0.3671947408577524,0.051587239746049326,0.41878198060380173,524.4977570000011,5100.011790960921,1.0,0.8052860755455891,/flyingtoaster/audisabled/1.5/LINKUSDT_20220723093109_e541e/config.json
803,dfc6a,MATICUSDT,567.9993055555556,0.3228721094558001,351.65,1.029839339225907,353.56666666666666,0.42474065422184226,-0.010281501165056356,0.41445915305678593,859.1315789999994,8234.197087255247,1.0,1.0,/flyingtoaster/0.1_auenabled_short/SANDUSDT_20220731004348_49308/config.json
1005,d4d2b,XRPUSDT,567.9986111111111,1.3303373345044076,340.26666666666665,262.1532051282051,13521.333333333334,0.32318902074702327,0.08716590765887931,0.4103549284059026,493.38739999999973,4838.45344026,1.0,0.3385091762935979,/flyingtoaster/audisabled/1.7/GMTUSDT_20220726144831_522de/config.json
751,29f03,DOTUSDT,567.9979166666667,3.714427792915531,243.55,170.399375,2175.7166666666667,0.07250787349421219,0.33119862706395947,0.40370650055817164,70.17997000000021,696.4900854399978,1.0,0.1307993820921155,/official_PB_config/v5.6.0/recursive_grid_124_symbols_390days_AUdisabled_2022-05-09.json
688,5e6fd,UNIUSDT,567.9986111111111,0.8607669802782514,833.95,2.897952097505669,496.96666666666664,0.12723232405773827,0.27386310809561093,0.4010954321533492,101.26112265174568,939.7367111594466,1.0,0.07934235716607872,/MDCL/Update_0.2.1/SOLUSDT_0.2.1/config.json
1045,963d8,MATICUSDT,567.9986111111111,3.118016163464471,209.1,6.151609506618532,211.23333333333332,0.37806817744361293,0.020000845679545198,0.3980690231231581,704.3165910000001,6992.042517631014,1.0,1.0,/flyingtoaster/audisabled/1.5/MATICUSDT_20220723093109_e541e/config.json
209,6f4ae,MATICUSDT,567.9993055555556,2.073305449936629,265.6166666666667,13631.983333333334,13631.983333333334,0.3980164359953475,0.0,0.3980164359953475,550.7234061531942,5472.362819137918,0.9995600542343093,1.0,/tedyptedto/configs/live/a_pro.json
363,dc847,MATICUSDT,567.9993055555556,0.33224429279389067,1992.95,0.9296858305485463,139.7,0.3966827690069543,-0.00959756518420726,0.3870852038227471,842.5124174878051,8119.352724799233,1.0,1.0,/flyingtoaster/0.1_auenabled_short/HNTUSDT_20220731004348_49308/config.json
330,78c07,MATICUSDT,567.9986111111111,1.8696978009418004,400.6166666666667,3.6783504227379025,9917.25,0.310137228716607,0.05668218866609034,0.3668194173826973,416.2251309999999,4111.256020653033,1.0,0.7890240951783303,/flyingtoaster/audisabled/1.7/ADAUSDT_20220726144831_522de/config.json
297,af86d,MATICUSDT,567.9993055555556,0.35054472673661113,100.41666666666667,0.8306613450328032,105.28333333333333,0.38053996237197546,-0.01575647601565939,0.3647834863563161,686.2184490000004,6603.166357919211,1.0,1.0,/flyingtoaster/0.1_auenabled_short/MATICUSDT_20220731004348_49308/config.json
211,6f4ae,DOGEUSDT,567.9993055555556,2.797451946097544,354.2,13631.983333333334,13631.983333333334,0.35625297622809765,0.0,0.35625297622809765,535.391120132222,5332.53187783752,0.9997790986007903,1.0,/tedyptedto/configs/live/a_pro.json
693,1351e,MATICUSDT,567.9993055555556,0.4363072376562967,1797.6833333333334,1.0453173325154002,293.5,0.34018545110503645,-0.0006780956617358928,0.3395073554433006,538.7379460156251,5202.071905380309,1.0,1.0,/flyingtoaster/0.1_auenabled_short/XLMUSDT_20220731004348_49308/config.json
250,5986e,AVAXUSDT,567.9986111111111,0.7783468463324579,2021.3833333333334,25.1977202711029,6373.383333333333,0.317344507184599,0.022051002426046948,0.33939550961064596,414.95300000000003,4016.65702039808,1.0,1.0,/flyingtoaster/audisabled/1.7/NEARUSDT_20220726144831_522de/config.json
1089,47a74,MATICUSDT,567.9993055555556,0.4212733191178137,1821.1166666666666,1.4433015704958532,964.2666666666667,0.35090109895167304,-0.012745013017635582,0.33815608593403745,567.0525602881359,5475.744869703499,1.0,1.0,/flyingtoaster/0.1_auenabled_short/ENJUSDT_20220731004348_49308/config.json
983,3835d,XRPUSDT,567.9986111111111,0.40837502371608597,1209.8333333333333,212.99947916666667,13497.516666666666,0.2605558560901192,0.07465948958602357,0.3352153456761428,291.8157700000002,2771.0922439801125,1.0,0.3892001657575608,/flyingtoaster/audisabled/1.7/DOTUSDT_20220726063439_d6df6/config.json
901,73486,ADAUSDT,567.9986111111111,0.6203397800530905,552.9833333333333,0.8971350224854666,753.6166666666667,0.09555689957566509,0.2390022713521825,0.3345591709278476,79.83281693905741,752.9189988385624,1.0,0.06649248488099116,/MDCL/Update_0.1/DOTUSDT_0.1/config.json
233,1483b,DOGEUSDT,567.9993055555556,0.3852910695947919,175.61666666666667,13631.983333333334,13631.983333333334,0.333896383459599,0.0,0.333896383459599,533.0622269000002,5034.926092057259,0.9998894337847544,1.0,/tedyptedto/configs/live/eb1ed_long_only.json
466,8c857,XRPUSDT,567.9986111111111,0.6104230103289748,73.7,1.5625821488613785,1192.9833333333333,0.09245057451664755,0.23945205682065007,0.33190263133729764,99.30277000000005,954.6101472400155,1.0,0.1917858008919446,/MDCL/Update_0.2.1/VETUSDT_0.2.1/config.json
231,1483b,MATICUSDT,567.9993055555556,0.3062678798771811,106.08333333333333,13631.983333333334,13631.983333333334,0.33029462451484515,0.0,0.33029462451484515,517.1818569999995,4778.873326887487,0.9996888785464664,1.0,/tedyptedto/configs/live/eb1ed_long_only.json
239,1483b,AVAXUSDT,567.9986111111111,0.31702248062015503,49.06666666666667,13631.966666666667,13631.966666666667,0.3280004876130165,0.0,0.3280004876130165,566.2558449999997,5332.475864401148,0.9986909071948368,1.0,/tedyptedto/configs/live/eb1ed_long_only.json
48,ae67f,XRPUSDT,567.9986111111111,2.0055857976558285,617.5333333333333,12.236953919808498,1159.2,0.315908176609986,0.010609853181873937,0.32651802979185995,451.95482,4451.355638879995,1.0,1.0,/flyingtoaster/audisabled/1.7/SOLUSDT_20220726144831_522de/config.json
982,3835d,DOTUSDT,567.9986111111111,0.31038175470552515,114.95,10.70853626603823,11595.716666666667,0.287093825659191,0.03473196040442339,0.3218257860636144,415.7549700000002,3935.175538010233,1.0,1.0,/flyingtoaster/audisabled/1.7/DOTUSDT_20220726063439_d6df6/config.json
946,b1d92,MATICUSDT,567.9986111111111,0.31996917347353926,325.8833333333333,0.5226379889838848,118.21666666666667,0.17761922394120516,0.13929643675027623,0.31691566069148136,247.18217800000002,2339.6807820199865,1.0,0.5027416824420132,/MDCL/Update_0.2.1/MATICUSDT_0.2.1/config.json
54,ae67f,ADAUSDT,567.9986111111111,2.203680353486367,1821.9166666666667,33.493775593775595,11067.35,0.2822881296968582,0.03416561520440855,0.3164537449012667,485.80770112000033,4797.53329196403,1.0,0.6887021201521109,/flyingtoaster/audisabled/1.7/SOLUSDT_20220726144831_522de/config.json
629,1bcb7,DOGEUSDT,567.9986111111111,3.2903612519108534,1740.05,3.2219254707318994,201.11666666666667,0.29579843134702477,0.02026337029522418,0.31606180164224895,561.5514452186601,5572.7577493937015,1.0,1.0,/flyingtoaster/audisabled/1.5/SANDUSDT_20220723093109_e541e/config.json
476,5e932,DOTUSDT,567.9986111111111,2.0094290487421382,1302.7833333333333,67.82072968490878,7014.5,0.2932084687145484,0.01889766542124459,0.312106134135793,362.82408999999967,3564.7671934099885,1.0,1.0,/flyingtoaster/audisabled/1.5/NEARUSDT_20220723093109_e541e/config.json
