,conf,bulk,categ,balance,op_coin,bt_coin,days,end,long,l_gridspan,l_we,l_adg,l_gain,l_bkrupt,short,s_gridspan,s_we,s_adg,s_gain,s_bkrupt
87,[conf](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/1.4/XMRUSDT_20220721074803_ad155/config.json),[bulk](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/1.4/XMRUSDT_20220721074803_ad155/bulk_opt.hjson),xx_trash,1500,17,XMRUSDT,888,2022/07/11,True,15%,1.0,0.122%,198.2%,99.7%,True,15%,0.156160440022914,0.036%,37.8%,100.0%
17,[conf](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/1.5/MANAUSDT_20220723093109_e541e/config.json),[bulk](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/1.5/MANAUSDT_20220723093109_e541e/bulk_opt.hjson),xx_trash,1500,17,MANAUSDT,494,2022/07/23,True,14%,1.0,0.3%,300.5%,99.93%,True,33%,0.1,0.0738%,22.32%,61.38%
76,[conf](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/1.4/SOLUSDT_20220721074803_ad155/config.json),[bulk](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/1.4/SOLUSDT_20220721074803_ad155/bulk_opt.hjson),xx_trash,1500,17,SOLUSDT,664,2022/07/11,True,14%,1.0,0.449%,1814.0%,99.79%,True,53%,0.11497158432021455,0.0442%,12.87%,58.11%
81,[conf](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/1.4/NEARUSDT_20220721074803_ad155/config.json),[bulk](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/1.4/NEARUSDT_20220721074803_ad155/bulk_opt.hjson),xx_trash,1500,17,NEARUSDT,633,2022/07/11,True,14%,1.0,0.313%,627.3%,99.94%,True,36%,0.16381975550999361,0.0438%,31.71%,100.0%
82,[conf](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/1.4/HNTUSDT_20220721074803_ad155/config.json),[bulk](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/1.4/HNTUSDT_20220721074803_ad155/bulk_opt.hjson),xx_trash,1500,17,HNTUSDT,650,2022/07/11,True,14%,1.0,0.447%,1637.0%,99.87%,True,55%,0.15780581761845863,0.0352%,25.49%,100.0%
83,[conf](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/1.4/GMTUSDT_20220721074803_ad155/config.json),[bulk](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/1.4/GMTUSDT_20220721074803_ad155/bulk_opt.hjson),xx_trash,1500,17,GMTUSDT,117,2022/07/11,True,14%,1.0,1.01%,245.0%,99.77%,True,26%,0.11513108528013757,0.118%,12.15%,90.44%
86,[conf](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/1.4/MANAUSDT_20220721074803_ad155/config.json),[bulk](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/1.4/MANAUSDT_20220721074803_ad155/bulk_opt.hjson),xx_trash,1500,17,MANAUSDT,482,2022/07/11,True,14%,1.0,0.374%,480.9%,99.97%,True,15%,0.10900483827687124,0.0417%,22.84%,100.0%
88,[conf](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/1.4/ETCUSDT_20220721074803_ad155/config.json),[bulk](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/1.4/ETCUSDT_20220721074803_ad155/bulk_opt.hjson),xx_trash,1500,17,ETCUSDT,906,2022/07/11,True,14%,1.0,0.263%,889.6%,99.9%,True,32%,0.18591297691722505,0.0229%,23.29%,100.0%
80,[conf](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/1.4/MATICUSDT_20220721074803_ad155/config.json),[bulk](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/1.4/MATICUSDT_20220721074803_ad155/bulk_opt.hjson),xx_trash,1500,17,MATICUSDT,626,2022/07/11,True,13%,1.0,0.658%,3282.0%,99.92%,True,47%,0.19086967130686328,0.038%,27.17%,100.0%
89,[conf](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/1.4/DYDXUSDT_20220721074803_ad155/config.json),[bulk](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/1.4/DYDXUSDT_20220721074803_ad155/bulk_opt.hjson),xx_trash,1500,17,DYDXUSDT,303,2022/07/11,True,13%,1.0,0.434%,248.3%,99.71%,True,18%,0.1662625973871446,0.0912%,50.14%,100.0%
84,[conf](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/1.4/LINKUSDT_20220721074803_ad155/config.json),[bulk](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/1.4/LINKUSDT_20220721074803_ad155/bulk_opt.hjson),xx_trash,1500,17,LINKUSDT,905,2022/07/11,True,12%,1.0,0.307%,1394.0%,99.74%,True,22%,0.19539777354420498,0.0366%,39.19%,100.0%
85,[conf](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/1.4/ENJUSDT_20220721074803_ad155/config.json),[bulk](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/1.4/ENJUSDT_20220721074803_ad155/bulk_opt.hjson),xx_trash,1500,17,ENJUSDT,649,2022/07/11,True,12%,1.0,0.492%,2089.0%,99.98%,True,29%,0.1693705736711824,0.0472%,35.8%,100.0%
79,[conf](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/1.4/ADAUSDT_20220721074803_ad155/config.json),[bulk](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/1.4/ADAUSDT_20220721074803_ad155/bulk_opt.hjson),xx_trash,1500,17,ADAUSDT,891,2022/07/11,True,11%,1.0,0.298%,925.6%,99.91%,True,29%,0.15342428316489223,0.0196%,19.06%,100.0%
38,[conf](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/5.7.0/DOTUSDT_20220720232313_ee288/config.json),[bulk](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/5.7.0/DOTUSDT_20220720232313_ee288/bulk_opt.hjson),xx_trash,1500,16,DOTUSDT,687,2022/07/11,True,14%,1.0,0.273%,528.1%,99.39%,True,15%,0.43955337035345865,0.101%,100.4%,100.0%
75,[conf](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/1.4/XLMUSDT_20220721074803_ad155/config.json),[bulk](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/1.4/XLMUSDT_20220721074803_ad155/bulk_opt.hjson),xx_trash,1500,15,XLMUSDT,902,2022/07/11,True,13%,1.0,0.397%,1083.0%,99.97%,True,36%,0.15060714111893353,0.0171%,16.88%,100.0%
58,[conf](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/5.7.0/DYDXUSDT_20220718170718_17e47/config.json),[bulk](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/5.7.0/DYDXUSDT_20220718170718_17e47/bulk_opt.hjson),xx_trash,1500,10,DYDXUSDT,303,2022/07/11,True,14%,1.0,0.289%,141.1%,99.6%,True,13%,0.1,0.0398%,13.37%,100.0%
66,[conf](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/5.7.0/ENJUSDT_20220718170718_17e47/config.json),[bulk](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/5.7.0/ENJUSDT_20220718170718_17e47/bulk_opt.hjson),xx_trash,1500,10,ENJUSDT,649,2022/07/11,True,12%,1.0,0.673%,4639.0%,99.98%,True,18%,0.1,0.0261%,19.12%,100.0%
