,conf,bulk,categ,balance,op_coin,bt_coin,days,end,long,l_gridspan,l_we,l_adg,l_gain,l_bkrupt,short,s_gridspan,s_we,s_adg,s_gain,s_bkrupt
65,[conf](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/5.7.0/LINKUSDT_20220718170718_17e47/config.json),[bulk](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/5.7.0/LINKUSDT_20220718170718_17e47/bulk_opt.hjson),xx_trash,1500,9,LINKUSDT,905,2022/07/11,True,12%,1.0,0.298%,1265.0%,99.91%,True,10%,0.1,0.0184%,19.06%,100.0%
48,[conf](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/5.7.0/SANDUSDT_20220713075744_02a71/config.json),[bulk](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/5.7.0/SANDUSDT_20220713075744_02a71/bulk_opt.hjson),xx_trash,1500,8,SANDUSDT,531,2022/07/11,True,30%,1.0,0.329%,406.9%,99.88%,True,34%,0.1,0.0207%,11.52%,100.0%
25,[conf](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/5.7.0/SOLUSDT_20220713075744_02a71/config.json),[bulk](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/5.7.0/SOLUSDT_20220713075744_02a71/bulk_opt.hjson),xx_trash,1500,8,SOLUSDT,664,2022/07/11,True,29%,1.0,0.267%,418.2%,99.29%,True,48%,0.1,0.0289%,9.617%,84.31%
35,[conf](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/5.7.0/ENJUSDT_20220713075744_02a71/config.json),[bulk](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/5.7.0/ENJUSDT_20220713075744_02a71/bulk_opt.hjson),xx_trash,1500,8,ENJUSDT,649,2022/07/11,True,28%,1.0,0.199%,238.8%,99.94%,True,29%,0.1,0.0207%,14.45%,100.0%
70,[conf](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/5.7.0/ADAUSDT_20220713075744_02a71/config.json),[bulk](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/5.7.0/ADAUSDT_20220713075744_02a71/bulk_opt.hjson),xx_trash,1500,8,ADAUSDT,891,2022/07/11,True,28%,1.0,0.231%,529.6%,99.96%,True,51%,0.1,0.00698%,6.463%,100.0%
47,[conf](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/5.7.0/SANDUSDT_20220713151530_949a2/config.json),[bulk](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/5.7.0/SANDUSDT_20220713151530_949a2/bulk_opt.hjson),xx_trash,1500,8,SANDUSDT,531,2022/07/11,True,26%,1.0,0.341%,489.4%,99.82%,True,34%,0.1,0.026%,14.88%,100.0%
37,[conf](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/5.7.0/MATICUSDT_20220713075744_02a71/config.json),[bulk](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/5.7.0/MATICUSDT_20220713075744_02a71/bulk_opt.hjson),xx_trash,1500,8,MATICUSDT,626,2022/07/11,True,22%,1.0,0.442%,1186.0%,99.34%,True,49%,0.1,0.0146%,9.589%,100.0%
68,[conf](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/5.7.0/DOTUSDT_20220713075744_02a71/config.json),[bulk](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/5.7.0/DOTUSDT_20220713075744_02a71/bulk_opt.hjson),xx_trash,1500,8,DOTUSDT,687,2022/07/11,True,16%,1.0,0.158%,197.1%,99.46%,True,33%,0.1,0.00649%,4.653%,100.0%
24,[conf](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/5.7.0/MANAUSDT_20220713075744_02a71/config.json),[bulk](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/5.7.0/MANAUSDT_20220713075744_02a71/bulk_opt.hjson),xx_trash,1500,8,MANAUSDT,482,2022/07/11,True,15%,1.0,0.338%,383.2%,99.95%,True,8%,0.1,0.0363%,19.5%,100.0%
51,[conf](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/5.7.0/LINKUSDT_20220713075744_02a71/config.json),[bulk](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/5.7.0/LINKUSDT_20220713075744_02a71/bulk_opt.hjson),xx_trash,1500,8,LINKUSDT,905,2022/07/11,True,15%,1.0,0.234%,641.8%,99.74%,True,26%,0.1,0.0177%,17.61%,100.0%
30,[conf](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/5.7.0/DOTUSDT_20220717071307_ad2c7/config.json),[bulk](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/5.7.0/DOTUSDT_20220717071307_ad2c7/bulk_opt.hjson),xx_trash,1500,8,DOTUSDT,687,2022/07/11,True,14%,1.0,0.3%,679.6%,99.4%,True,17%,0.1,0.0232%,17.98%,100.0%
41,[conf](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/5.7.0/MANAUSDT_20220717071307_ad2c7/config.json),[bulk](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/5.7.0/MANAUSDT_20220717071307_ad2c7/bulk_opt.hjson),xx_trash,1500,8,MANAUSDT,482,2022/07/11,True,14%,1.0,0.486%,992.6%,99.97%,True,11%,0.1,0.0478%,27.1%,100.0%
43,[conf](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/5.7.0/SOLUSDT_20220717071307_ad2c7/config.json),[bulk](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/5.7.0/SOLUSDT_20220717071307_ad2c7/bulk_opt.hjson),xx_trash,1500,8,SOLUSDT,664,2022/07/11,True,14%,1.0,0.488%,2356.0%,99.81%,True,17%,0.1,0.0432%,22.04%,88.51%
49,[conf](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/5.7.0/SANDUSDT_20220717071307_ad2c7/config.json),[bulk](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/5.7.0/SANDUSDT_20220717071307_ad2c7/bulk_opt.hjson),xx_trash,1500,8,SANDUSDT,531,2022/07/11,True,14%,1.0,0.316%,426.3%,99.86%,True,14%,0.1,0.0255%,15.02%,100.0%
67,[conf](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/5.7.0/ADAUSDT_20220717071307_ad2c7/config.json),[bulk](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/5.7.0/ADAUSDT_20220717071307_ad2c7/bulk_opt.hjson),xx_trash,1500,8,ADAUSDT,891,2022/07/11,True,11%,1.0,0.298%,1064.0%,99.91%,True,15%,0.1,0.0109%,10.57%,100.0%
60,[conf](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/5.7.0/SOLUSDT_20220716051312_e271d/config.json),[bulk](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/5.7.0/SOLUSDT_20220716051312_e271d/bulk_opt.hjson),xx_trash,1500,7,SOLUSDT,664,2022/07/11,True,16%,1.0,0.476%,2027.0%,99.83%,True,56%,0.1,0.0421%,11.88%,59.54%
71,[conf](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/5.7.0/XRPUSDT_20220719121510_7aed7/config.json),[bulk](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/5.7.0/XRPUSDT_20220719121510_7aed7/bulk_opt.hjson),xx_trash,1500,7,XRPUSDT,916,2022/07/11,True,15%,1.0,0.308%,1497.0%,99.96%,True,11%,0.1,0.0192%,19.9%,100.0%
27,[conf](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/5.7.0/XMRUSDT_20220716051312_e271d/config.json),[bulk](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/5.7.0/XMRUSDT_20220716051312_e271d/bulk_opt.hjson),xx_trash,1500,7,XMRUSDT,888,2022/07/11,True,14%,0.1,0.0159%,15.63%,100.0%,True,11%,0.1,0.0208%,21.12%,100.0%
28,[conf](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/5.7.0/DOTUSDT_20220716222523_a0560/config.json),[bulk](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/5.7.0/DOTUSDT_20220716222523_a0560/bulk_opt.hjson),xx_trash,1500,7,DOTUSDT,687,2022/07/11,True,14%,0.1,0.0228%,17.73%,100.0%,True,15%,0.1,0.0191%,14.57%,100.0%
34,[conf](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/5.7.0/NEARUSDT_20220719121510_7aed7/config.json),[bulk](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/5.7.0/NEARUSDT_20220719121510_7aed7/bulk_opt.hjson),xx_trash,1500,7,NEARUSDT,633,2022/07/11,True,14%,1.0,0.296%,555.6%,99.93%,True,19%,0.1,0.0271%,19.43%,100.0%
56,[conf](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/5.7.0/SANDUSDT_20220716051312_e271d/config.json),[bulk](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/5.7.0/SANDUSDT_20220716051312_e271d/bulk_opt.hjson),xx_trash,1500,7,SANDUSDT,531,2022/07/11,True,14%,0.1,0.0308%,18.79%,100.0%,True,14%,0.1,0.0234%,13.74%,100.0%
57,[conf](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/5.7.0/GMTUSDT_20220719121510_7aed7/config.json),[bulk](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/5.7.0/GMTUSDT_20220719121510_7aed7/bulk_opt.hjson),xx_trash,1500,7,GMTUSDT,117,2022/07/11,True,14%,1.0,0.852%,461.4%,99.25%,True,13%,0.1,0.0905%,12.64%,100.0%
59,[conf](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/5.7.0/HNTUSDT_20220719121510_7aed7/config.json),[bulk](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/5.7.0/HNTUSDT_20220719121510_7aed7/bulk_opt.hjson),xx_trash,1500,7,HNTUSDT,650,2022/07/11,True,14%,1.0,0.47%,1739.0%,99.95%,True,16%,0.1,0.0262%,18.99%,100.0%
61,[conf](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/5.7.0/DOTUSDT_20220716051312_e271d/config.json),[bulk](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/5.7.0/DOTUSDT_20220716051312_e271d/bulk_opt.hjson),xx_trash,1500,7,DOTUSDT,687,2022/07/11,True,14%,0.1,0.0257%,20.18%,100.0%,True,17%,0.1,0.0202%,15.61%,100.0%
62,[conf](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/5.7.0/MANAUSDT_20220716222523_a0560/config.json),[bulk](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/5.7.0/MANAUSDT_20220716222523_a0560/bulk_opt.hjson),xx_trash,1500,7,MANAUSDT,482,2022/07/11,True,14%,0.1,0.0455%,26.93%,100.0%,True,10%,0.1,0.0452%,25.32%,100.0%
69,[conf](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/5.7.0/EOSUSDT_20220719121510_7aed7/config.json),[bulk](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/5.7.0/EOSUSDT_20220719121510_7aed7/bulk_opt.hjson),xx_trash,1500,7,EOSUSDT,914,2022/07/11,True,14%,1.0,0.104%,149.7%,99.82%,True,17%,0.1,0.0163%,16.29%,100.0%
73,[conf](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/5.7.0/SANDUSDT_20220716222523_a0560/config.json),[bulk](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/5.7.0/SANDUSDT_20220716222523_a0560/bulk_opt.hjson),xx_trash,1500,7,SANDUSDT,531,2022/07/11,True,14%,0.1,0.0337%,20.66%,100.0%,True,19%,0.1,0.0239%,13.91%,100.0%
52,[conf](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/5.7.0/XLMUSDT_20220719121510_7aed7/config.json),[bulk](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/5.7.0/XLMUSDT_20220719121510_7aed7/bulk_opt.hjson),xx_trash,1500,7,XLMUSDT,902,2022/07/11,True,13%,1.0,0.357%,972.9%,99.96%,True,11%,0.1,0.0248%,25.63%,100.0%
53,[conf](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/5.7.0/MANAUSDT_20220716051312_e271d/config.json),[bulk](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/5.7.0/MANAUSDT_20220716051312_e271d/bulk_opt.hjson),xx_trash,1500,7,MANAUSDT,482,2022/07/11,True,13%,0.1,0.0379%,21.07%,100.0%,True,10%,0.1,0.0475%,26.52%,100.0%
63,[conf](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/5.7.0/ADAUSDT_20220716051312_e271d/config.json),[bulk](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/5.7.0/ADAUSDT_20220716051312_e271d/bulk_opt.hjson),xx_trash,1500,7,ADAUSDT,891,2022/07/11,True,12%,0.1,0.019%,19.36%,100.0%,True,13%,0.1,0.0129%,12.6%,100.0%
64,[conf](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/5.7.0/ETCUSDT_20220719121510_7aed7/config.json),[bulk](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/5.7.0/ETCUSDT_20220719121510_7aed7/bulk_opt.hjson),xx_trash,1500,7,ETCUSDT,906,2022/07/11,True,12%,1.0,0.248%,769.3%,99.43%,True,13%,0.1,0.0163%,16.55%,100.0%
26,[conf](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/5.7.0/SANDUSDT_20220715083342_969fe/config.json),[bulk](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/5.7.0/SANDUSDT_20220715083342_969fe/bulk_opt.hjson),xx_trash,1500,6,SANDUSDT,531,2022/07/11,True,36%,1.0,0.314%,411.0%,99.89%,True,38%,0.1,0.0221%,12.52%,100.0%
39,[conf](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/5.7.0/MANAUSDT_20220715083342_969fe/config.json),[bulk](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/5.7.0/MANAUSDT_20220715083342_969fe/bulk_opt.hjson),xx_trash,1500,6,MANAUSDT,482,2022/07/11,True,36%,1.0,0.354%,415.1%,99.96%,True,15%,0.1,0.0516%,28.68%,100.0%
29,[conf](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/5.7.0/ADAUSDT_20220715083342_969fe/config.json),[bulk](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/5.7.0/ADAUSDT_20220715083342_969fe/bulk_opt.hjson),xx_trash,1500,6,ADAUSDT,891,2022/07/11,True,31%,1.0,0.158%,296.8%,99.72%,True,51%,0.1,0.0114%,10.78%,100.0%
74,[conf](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/5.7.0/DOTUSDT_20220715083342_969fe/config.json),[bulk](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/5.7.0/DOTUSDT_20220715083342_969fe/bulk_opt.hjson),xx_trash,1500,6,DOTUSDT,687,2022/07/11,True,17%,1.0,0.306%,733.0%,99.83%,True,22%,0.1,0.0184%,13.7%,100.0%
46,[conf](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/5.7.0/SOLUSDT_20220715083342_969fe/config.json),[bulk](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/5.7.0/SOLUSDT_20220715083342_969fe/bulk_opt.hjson),xx_trash,1500,6,SOLUSDT,664,2022/07/11,True,16%,1.0,0.476%,2027.0%,99.83%,True,56%,0.1,0.0421%,11.88%,59.54%
40,[conf](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/5.7.0/SANDUSDT_20220715022104_72ba6/config.json),[bulk](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/5.7.0/SANDUSDT_20220715022104_72ba6/bulk_opt.hjson),xx_trash,1500,2,SANDUSDT,531,2022/07/11,True,37%,1.0,0.447%,855.4%,99.95%,True,35%,0.1,0.019%,10.71%,100.0%
36,[conf](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/5.7.0/DOTUSDT_20220715022104_72ba6/config.json),[bulk](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/5.7.0/DOTUSDT_20220715022104_72ba6/bulk_opt.hjson),xx_trash,1500,2,DOTUSDT,687,2022/07/11,True,31%,1.0,0.233%,375.3%,99.78%,True,20%,0.1,0.0146%,10.56%,100.0%
78,[conf](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/1.4/SANDUSDT_20220723033310_f0eb5/config.json),[bulk](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/1.4/SANDUSDT_20220723033310_f0eb5/bulk_opt.hjson),xx_trash,1500,2,SANDUSDT,531,2022/07/11,True,13%,1.0,0.579%,1583.0%,99.93%,True,37%,0.18583326866130684,0.0389%,23.01%,100.0%
77,[conf](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/1.4/DOTUSDT_20220723033310_f0eb5/config.json),[bulk](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/1.4/DOTUSDT_20220723033310_f0eb5/bulk_opt.hjson),xx_trash,1500,2,DOTUSDT,687,2022/07/11,True,11%,1.0,0.306%,706.8%,99.65%,True,26%,0.16950720884308634,0.0258%,19.42%,100.0%
5,[conf](https://github.com/tedyptedto/pbos/blob/main//xx_trash/dotcom87/pb-configs-main/v5.7.0/single/VETUSDT/config.json),[bulk](https://github.com/tedyptedto/pbos/blob/main//xx_trash/dotcom87/pb-configs-main/v5.7.0/single/VETUSDT/bulk_optimisation.hjson),xx_trash,825,19,VETUSDT,885,2022/07/19,True,28%,0.2,0.0481%,53.89%,100.0%,True,24%,0.1,0.0146%,14.08%,100.0%
6,[conf](https://github.com/tedyptedto/pbos/blob/main//xx_trash/dotcom87/pb-configs-main/v5.7.0/single/CRVUSDT/config.json),[bulk](https://github.com/tedyptedto/pbos/blob/main//xx_trash/dotcom87/pb-configs-main/v5.7.0/single/CRVUSDT/bulk_optimisation.hjson),xx_trash,825,18,CRVUSDT,685,2022/07/19,True,23%,0.2,0.032%,25.52%,100.0%,True,28%,0.1,0.0256%,22.82%,100.0%
0,[conf](https://github.com/tedyptedto/pbos/blob/main//xx_trash/dotcom87/pb-configs-main/v5.7.0/single/CHZUSDT/config.json),[bulk](https://github.com/tedyptedto/pbos/blob/main//xx_trash/dotcom87/pb-configs-main/v5.7.0/single/CHZUSDT/bulk_optimisation.hjson),xx_trash,825,18,CHZUSDT,543,2022/07/19,True,22%,0.2,0.0688%,47.56%,100.0%,True,26%,0.1,0.0266%,16.14%,100.0%
1,[conf](https://github.com/tedyptedto/pbos/blob/main//xx_trash/dotcom87/pb-configs-main/v5.7.0/single/ENJUSDT/config.json),[bulk](https://github.com/tedyptedto/pbos/blob/main//xx_trash/dotcom87/pb-configs-main/v5.7.0/single/ENJUSDT/bulk_optimisation.hjson),xx_trash,825,18,ENJUSDT,657,2022/07/19,True,19%,0.2,0.0564%,46.68%,100.0%,True,30%,0.1,0.0235%,17.57%,100.0%
3,[conf](https://github.com/tedyptedto/pbos/blob/main//xx_trash/dotcom87/pb-configs-main/v5.7.0/single/CHRUSDT/config.json),[bulk](https://github.com/tedyptedto/pbos/blob/main//xx_trash/dotcom87/pb-configs-main/v5.7.0/single/CHRUSDT/bulk_optimisation.hjson),xx_trash,825,18,CHRUSDT,493,2022/07/19,True,19%,0.2,0.0608%,36.34%,100.0%,True,34%,0.1,0.0235%,13.48%,100.0%
2,[conf](https://github.com/tedyptedto/pbos/blob/main//xx_trash/dotcom87/pb-configs-main/v5.7.0/single/GRTUSDT/config.json),[bulk](https://github.com/tedyptedto/pbos/blob/main//xx_trash/dotcom87/pb-configs-main/v5.7.0/single/GRTUSDT/bulk_optimisation.hjson),xx_trash,825,18,GRTUSDT,576,2022/07/19,True,17%,0.2,0.0789%,60.61%,100.0%,True,20%,0.1,0.038%,25.31%,100.0%
4,[conf](https://github.com/tedyptedto/pbos/blob/main//xx_trash/dotcom87/pb-configs-main/v5.7.0/single/MANAUSDT/config.json),[bulk](https://github.com/tedyptedto/pbos/blob/main//xx_trash/dotcom87/pb-configs-main/v5.7.0/single/MANAUSDT/bulk_optimisation.hjson),xx_trash,825,18,MANAUSDT,490,2022/07/19,True,16%,0.2,0.0763%,47.47%,100.0%,True,20%,0.1,0.0288%,15.84%,100.0%
