,uid,info,stars,categ,bt_coin,bt_days,bt_l_adg,bt_s_adg,long,l_AU,l_gspan,l_TP,short,s_AU,s_gspan,s_TP
5,52baf,[dir](https://github.com/tedyptedto/pbos/blob/main//dotcom87/v0.1/1INCHUSDT_20220730064655_4661b#52baf),3.0,dotcom87,1INCHUSDT,580,0.239,0.233,True,True,17.0,0.2% /0.27%/,True,True,21.0,0.2% /0.25%/
13,97472,[dir](https://github.com/tedyptedto/pbos/blob/main//MDCL/Update_0.1/ADAUSDT_0.1#97472),6.0,MDCL,ADAUSDT,892,0.36,0.0676,True,True,35.0,0.49% /0.2%/,True,True,47.0,0.5% /0.19%/
26,040e0,[dir](https://github.com/tedyptedto/pbos/blob/main//MDCL/Update_0.2.1/ADAUSDT_0.2.1#040e0),4.0,MDCL,ADAUSDT,900,0.307,0.0961,True,True,21.0,0.29% /0.19%/,True,True,29.0,0.28% /0.2%/
91,6f8a4,[dir](https://github.com/tedyptedto/pbos/blob/main//flyingtoaster/audisabled/1.5/ADAUSDT_20220723093109_e541e#6f8a4),4.0,flyingtoaster,ADAUSDT,903,0.207,0.115,True,False,28.0,0.2% /1.56%/,True,False,23.0,0.98% /0%/
74,78c07,[dir](https://github.com/tedyptedto/pbos/blob/main//flyingtoaster/audisabled/1.7/ADAUSDT_20220726144831_522de#78c07),4.0,flyingtoaster,ADAUSDT,905,0.178,0.127,True,False,28.0,0.2% /1.38%/,True,False,25.0,0.9% /0.3%/
47,b64ab,[dir](https://github.com/tedyptedto/pbos/blob/main//flyingtoaster/0.1_auenabled_short/ADAUSDT_20220731004348_49308#b64ab),5.0,flyingtoaster,ADAUSDT,905,0.155,0.0619,True,False,37.0,0.2% /0.2%/,True,True,47.0,0.2% /0.27%/
44,b20c8,[dir](https://github.com/tedyptedto/pbos/blob/main//MDCL/Update_0.2.2/ADAUSDT_20220729133412_3d314#b20c8),5.0,MDCL,ADAUSDT,908,0.138,0.0583,True,True,32.0,0.2% /0.3%/,True,True,38.0,0.2% /0.3%/
32,538c8,[dir](https://github.com/tedyptedto/pbos/blob/main//MDCL/Update_0.2.3/ADAUSDT_20220805110939_7de7b#538c8),4.0,MDCL,ADAUSDT,913,0.127,0.0599,True,True,27.0,0.2% /0.28%/,True,True,32.0,0.2% /0.3%/
42,b6ce2,[dir](https://github.com/tedyptedto/pbos/blob/main//MDCL/Update_0.2.2/ADAUSDT_20220731135249_d0915#b6ce2),4.0,MDCL,ADAUSDT,908,0.116,0.0272,True,True,26.0,0.2% /0.29%/,True,True,42.0,0.2% /0.26%/
12,03673,[dir](https://github.com/tedyptedto/pbos/blob/main//MDCL/Update_0.1/ATOMUSDT_0.1#03673),6.0,MDCL,ATOMUSDT,885,0.353,0.136,True,True,42.0,0.5% /0.16%/,True,True,32.0,0.47% /0.09%/
28,69b76,[dir](https://github.com/tedyptedto/pbos/blob/main//MDCL/Update_0.2.1/ATOMUSDT_0.2.1#69b76),4.0,MDCL,ATOMUSDT,893,0.177,0.161,True,True,23.0,0.28% /0.18%/,True,True,26.0,0.28% /0.19%/
34,e603d,[dir](https://github.com/tedyptedto/pbos/blob/main//MDCL/Update_0.2.3/ATOMUSDT_20220805110939_7de7b#e603d),4.0,MDCL,ATOMUSDT,906,0.147,0.134,True,True,30.0,0.2% /0.3%/,True,True,32.0,0.2% /0.3%/
16,40823,[dir](https://github.com/tedyptedto/pbos/blob/main//MDCL/Update_0.1/AVAXUSDT_0.1#40823),5.0,MDCL,AVAXUSDT,656,0.297,0.137,True,True,27.0,0.28% /0.19%/,True,True,44.0,0.29% /0.2%/
25,eb1ed,[dir](https://github.com/tedyptedto/pbos/blob/main//MDCL/Update_0.2.1/AVAXUSDT_0.2.1#eb1ed),4.0,MDCL,AVAXUSDT,664,0.292,0.118,True,True,20.0,0.29% /0.15%/,True,True,53.0,0.29% /0.2%/
36,7eb33,[dir](https://github.com/tedyptedto/pbos/blob/main//MDCL/Update_0.2.3/AVAXUSDT_20220804100658_3ac1e#7eb33),5.0,MDCL,AVAXUSDT,677,0.225,0.154,True,True,28.0,0.2% /0.27%/,True,True,48.0,0.2% /0.3%/
4,838c9,[dir](https://github.com/tedyptedto/pbos/blob/main//dotcom87/v0.1/CELRUSDT_20220730064655_4661b#838c9),3.0,dotcom87,CELRUSDT,486,0.294,0.24,True,True,20.0,0.2% /0.27%/,True,True,20.0,0.2% /0.29%/
11,68838,[dir](https://github.com/tedyptedto/pbos/blob/main//dotcom87/v0.1/CHRUSDT_20220730064655_4661b#68838),3.0,dotcom87,CHRUSDT,503,0.268,0.255,True,True,22.0,0.2% /0.3%/,True,True,23.0,0.2% /0.3%/
10,f0303,[dir](https://github.com/tedyptedto/pbos/blob/main//dotcom87/v0.1/CHZUSDT_20220730064655_4661b#f0303),4.0,dotcom87,CHZUSDT,553,0.35,0.226,True,True,33.0,0.2% /0.28%/,True,True,27.0,0.2% /0.27%/
0,12805,[dir](https://github.com/tedyptedto/pbos/blob/main//dotcom87/v0.1/DENTUSDT_20220730064655_4661b#12805),3.0,dotcom87,DENTUSDT,491,0.27,0.214,True,True,18.0,0.2% /0.29%/,True,True,37.0,0.2% /0.3%/
72,3835d,[dir](https://github.com/tedyptedto/pbos/blob/main//flyingtoaster/audisabled/1.7/DOTUSDT_20220726063439_d6df6#3835d),2.0,flyingtoaster,DOTUSDT,700,0.304,0.166,True,False,13.0,0.2% /0.15%/,True,False,3.0,0.68% /0.4%/
17,73486,[dir](https://github.com/tedyptedto/pbos/blob/main//MDCL/Update_0.1/DOTUSDT_0.1#73486),3.0,MDCL,DOTUSDT,688,0.233,0.144,True,True,15.0,0.29% /0.2%/,True,True,29.0,0.27% /0.2%/
20,57f1e,[dir](https://github.com/tedyptedto/pbos/blob/main//MDCL/Update_0.2.1/DOTUSDT_0.2.1#57f1e),3.0,MDCL,DOTUSDT,696,0.226,0.156,True,True,20.0,0.3% /0.19%/,True,True,24.0,0.29% /0.15%/
94,f3df5,[dir](https://github.com/tedyptedto/pbos/blob/main//flyingtoaster/audisabled/1.5/DOTUSDT_20220723093109_e541e#f3df5),4.0,flyingtoaster,DOTUSDT,699,0.214,0.163,True,False,32.0,0.2% /1.96%/,True,False,12.0,0.4% /0.87%/
55,f6b44,[dir](https://github.com/tedyptedto/pbos/blob/main//flyingtoaster/0.1_auenabled_short/maximum_pa_distance_std_test/DOTUSDT_MAX_PA_DIST_STD_0.015#f6b44),4.0,flyingtoaster,DOTUSDT,700,0.202,0.124,True,False,31.0,0.2% /0.2%/,True,True,37.0,0.2% /0.29%/
59,f6b44,[dir](https://github.com/tedyptedto/pbos/blob/main//flyingtoaster/0.1_auenabled_short/DOTUSDT_20220731004348_49308#f6b44),4.0,flyingtoaster,DOTUSDT,700,0.202,0.124,True,False,31.0,0.2% /0.2%/,True,True,37.0,0.2% /0.29%/
56,85d7d,[dir](https://github.com/tedyptedto/pbos/blob/main//flyingtoaster/0.1_auenabled_short/maximum_pa_distance_std_test/DOTUSDT_MAX_PA_DIST_STD_0.010#85d7d),5.0,flyingtoaster,DOTUSDT,700,0.199,0.161,True,False,34.0,0.2% /0.29%/,True,True,45.0,0.2% /0.3%/
29,21de8,[dir](https://github.com/tedyptedto/pbos/blob/main//MDCL/Update_0.2.3/DOTUSDT_20220805110939_7de7b#21de8),4.0,MDCL,DOTUSDT,709,0.17,0.124,True,True,24.0,0.2% /0.28%/,True,True,32.0,0.2% /0.27%/
87,911d6,[dir](https://github.com/tedyptedto/pbos/blob/main//flyingtoaster/audisabled/1.5/DYDXUSDT_20220723093109_e541e#911d6),4.0,flyingtoaster,DYDXUSDT,315,0.341,1.03,True,False,22.0,0.2% /1.78%/,True,False,12.0,0.9% /2.56%/
71,fb42a,[dir](https://github.com/tedyptedto/pbos/blob/main//flyingtoaster/audisabled/1.7/DYDXUSDT_20220726144831_522de#fb42a),4.0,flyingtoaster,DYDXUSDT,317,0.306,1.07,True,False,22.0,0.2% /2.34%/,True,False,2.0,0.91% /2.1%/
50,d6ec9,[dir](https://github.com/tedyptedto/pbos/blob/main//flyingtoaster/0.1_auenabled_short/DYDXUSDT_20220731004348_49308#d6ec9),4.0,flyingtoaster,DYDXUSDT,317,0.243,0.395,True,False,28.0,0.2% /0.29%/,True,True,47.0,0.2% /0.29%/
78,62d06,[dir](https://github.com/tedyptedto/pbos/blob/main//flyingtoaster/audisabled/1.7/EGLDUSDT_20220726144831_522de#62d06),3.0,flyingtoaster,EGLDUSDT,678,0.284,0.124,True,False,16.0,0.2% /0.4%/,True,False,36.0,0.3% /0%/
51,c3706,[dir](https://github.com/tedyptedto/pbos/blob/main//flyingtoaster/0.1_auenabled_short/EGLDUSDT_20220731004348_49308#c3706),4.0,flyingtoaster,EGLDUSDT,678,0.175,0.0867,True,False,28.0,0.2% /0.3%/,True,True,39.0,0.2% /0.27%/
67,6c258,[dir](https://github.com/tedyptedto/pbos/blob/main//flyingtoaster/audisabled/1.7/ENJUSDT_20220726144831_522de#6c258),5.0,flyingtoaster,ENJUSDT,663,0.318,0.257,True,False,35.0,0.2% /2.14%/,True,False,24.0,0.79% /1.87%/
84,842b0,[dir](https://github.com/tedyptedto/pbos/blob/main//flyingtoaster/audisabled/1.5/ENJUSDT_20220723093109_e541e#842b0),5.0,flyingtoaster,ENJUSDT,661,0.314,0.263,True,False,35.0,0.2% /2.14%/,True,False,25.0,0.54% /1.68%/
48,47a74,[dir](https://github.com/tedyptedto/pbos/blob/main//flyingtoaster/0.1_auenabled_short/ENJUSDT_20220731004348_49308#47a74),5.0,flyingtoaster,ENJUSDT,663,0.301,0.202,True,False,34.0,0.2% /0.3%/,True,True,35.0,0.2% /0.26%/
3,9fac7,[dir](https://github.com/tedyptedto/pbos/blob/main//dotcom87/v0.1/ENJUSDT_20220730064655_4661b#9fac7),3.0,dotcom87,ENJUSDT,667,0.261,0.2,True,False,16.0,0.2% /0.28%/,True,True,26.0,0.2% /0.24%/
90,3bd22,[dir](https://github.com/tedyptedto/pbos/blob/main//flyingtoaster/audisabled/1.5/EOSUSDT_20220723093109_e541e#3bd22),4.0,flyingtoaster,EOSUSDT,926,0.192,0.311,True,False,22.0,0.2% /1.75%/,True,False,14.0,0.98% /2.95%/
