,uid,info,stars,categ,bt_coin,bt_days,bt_l_adg,bt_s_adg,long,l_AU,l_gspan,l_TP,short,s_AU,s_gspan,s_TP
42,c2c2c,/MDCL/Default_TP_0.2%_17k_balance_testing/SOLUSDT_20220817045953_116a8,4.0,MDCL,SOLUSDT,687,0.375,0.174,True,True,30.0,0.2% /0.3%/,True,True,27.0,0.2% /0.3%/
29,ee751,/MDCL/Update_0.2.3/SANDUSDT_20220804003736_fef8f,4.0,MDCL,SANDUSDT,553,0.371,0.168,True,True,29.0,0.2% /0.3%/,True,True,34.0,0.2% /0.3%/
0,97472,/MDCL/Update_0.1/ADAUSDT_0.1,6.0,MDCL,ADAUSDT,892,0.36,0.0676,True,True,35.0,0.49% /0.2%/,True,True,47.0,0.5% /0.19%/
14,fee62,/MDCL/Update_0.2.1/SANDUSDT_0.2.1,4.0,MDCL,SANDUSDT,540,0.36,0.195,True,True,31.0,0.28% /0.2%/,True,True,34.0,0.29% /0.17%/
30,c120f,/MDCL/Update_0.2.3/SOLUSDT_20220805110939_7de7b,5.0,MDCL,SOLUSDT,686,0.357,0.138,True,True,26.0,0.2% /0.24%/,True,True,49.0,0.2% /0.3%/
1,03673,/MDCL/Update_0.1/ATOMUSDT_0.1,5.0,MDCL,ATOMUSDT,885,0.353,0.136,True,True,42.0,0.5% /0.16%/,True,True,32.0,0.47% /0.09%/
4,a0c33,/MDCL/Update_0.1/MATICUSDT_0.1,4.0,MDCL,MATICUSDT,627,0.353,0.103,True,False,15.0,0.44% /0.19%/,True,True,52.0,0.49% /0.18%/
33,78000,/MDCL/Update_0.2/MATICUSDT_0.2,4.0,MDCL,MATICUSDT,635,0.337,0.0931,True,True,24.0,0.3% /0.18%/,True,True,46.0,0.28% /0.19%/
20,89eb3,/MDCL/Update_0.2.2/MATICUSDT_20220731135249_d0915,4.0,MDCL,MATICUSDT,643,0.335,0.105,True,True,25.0,0.2% /0.25%/,True,True,42.0,0.2% /0.28%/
19,14088,/MDCL/Update_0.2.2/MATICUSDT_20220729133412_3d314,4.0,MDCL,MATICUSDT,643,0.334,0.109,True,True,25.0,0.2% /0.3%/,True,True,35.0,0.2% /0.3%/
28,43e29,/MDCL/Update_0.2.3/MATICUSDT_20220802215702_c3523,4.0,MDCL,MATICUSDT,648,0.332,0.109,True,True,23.0,0.2% /0.29%/,True,True,33.0,0.2% /0.3%/
13,b1d92,/MDCL/Update_0.2.1/MATICUSDT_0.2.1,4.0,MDCL,MATICUSDT,635,0.325,0.176,True,True,24.0,0.28% /0.2%/,True,True,24.0,0.3% /0.19%/
6,040e0,/MDCL/Update_0.2.1/ADAUSDT_0.2.1,4.0,MDCL,ADAUSDT,900,0.307,0.0961,True,True,21.0,0.29% /0.19%/,True,True,29.0,0.28% /0.2%/
5,f6a08,/MDCL/Update_0.1/SOLUSDT_0.1,5.0,MDCL,SOLUSDT,665,0.299,0.111,True,True,30.0,0.29% /0.19%/,True,True,57.0,0.29% /0.2%/
2,40823,/MDCL/Update_0.1/AVAXUSDT_0.1,4.0,MDCL,AVAXUSDT,656,0.297,0.137,True,True,27.0,0.28% /0.19%/,True,True,44.0,0.29% /0.2%/
8,eb1ed,/MDCL/Update_0.2.1/AVAXUSDT_0.2.1,4.0,MDCL,AVAXUSDT,664,0.292,0.118,True,True,20.0,0.29% /0.15%/,True,True,53.0,0.29% /0.2%/
27,d6dcb,/MDCL/Update_0.2.3/MANAUSDT_20220803130558_ff753,4.0,MDCL,MANAUSDT,504,0.276,0.233,True,True,22.0,0.2% /0.29%/,True,True,33.0,0.2% /0.3%/
15,5e6fd,/MDCL/Update_0.2.1/SOLUSDT_0.2.1,5.0,MDCL,SOLUSDT,673,0.273,0.146,True,True,34.0,0.3% /0.2%/,True,True,49.0,0.29% /0.2%/
41,528a1,/MDCL/Default_TP_0.2%_17k_balance_testing/SANDUSDT_20220817045953_116a8,4.0,MDCL,SANDUSDT,554,0.27,0.141,True,True,32.0,0.2% /0.3%/,True,True,33.0,0.2% /0.3%/
12,d2692,/MDCL/Update_0.2.1/MANAUSDT_0.2.1,3.0,MDCL,MANAUSDT,491,0.249,0.229,True,True,23.0,0.29% /0.15%/,True,True,20.0,0.28% /0.19%/
3,73486,/MDCL/Update_0.1/DOTUSDT_0.1,3.0,MDCL,DOTUSDT,688,0.233,0.144,True,True,15.0,0.29% /0.2%/,True,True,29.0,0.27% /0.2%/
9,57f1e,/MDCL/Update_0.2.1/DOTUSDT_0.2.1,3.0,MDCL,DOTUSDT,696,0.226,0.156,True,True,20.0,0.3% /0.19%/,True,True,24.0,0.29% /0.15%/
