+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | MATICUSDT |
| No. days                    | 720.708   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.137%    |
| Final balance               | 1636.24   |
| Final equity                | 1634.41   |
| Net PNL + fees              | 636.24    |
| Total gain                  | 68.11%    |
| Average daily gain          | 0.0688%   |
| DG mean std ratio           | 0.1968    |
| Price action distance mean  | 0.0197074 |
| Price action distance std   | 0.020167  |
| Price action distance max   | 0.31645   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9143    |
| Equity/balance ratio std    | 0.004548  |
| No. fills                   | 43233     |
| No. entries                 | 22788     |
| No. closes                  | 20445     |
| No. initial entries         | 20381     |
| No. reentries               | 2407      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 20445     |
| Average n fills per day     | 60.0      |
| Mean hours stuck            | 2.14284   |
| Max hours stuck             | 349.9     |
| PNL sum                     | 681.1     |
| Profit sum                  | 681.1     |
| Loss sum                    | 0.0       |
| Fee sum                     | -44.88    |
| Biggest pos size            | 15334.0   |
| Biggest pos cost            | 565.6     |
| Volume quote                | 448794.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.0679%   |
| Final balance               | 1277.34   |
| Final equity                | 1277.34   |
| Net PNL + fees              | 277.339   |
| Total gain                  | 29.23%    |
| Average daily gain          | 0.056%    |
| DG mean std ratio           | 0.02525   |
| Price action distance mean  | 0.0215476 |
| Price action distance std   | 0.0335495 |
| Price action distance max   | 0.446199  |
| Closest bankruptcy          | 64.65%    |
| Lowest equity/balance ratio | 0.5975    |
| Equity/balance ratio std    | 0.01794   |
| No. fills                   | 16217     |
| No. entries                 | 8898      |
| No. closes                  | 7319      |
| No. initial entries         | 7105      |
| No. reentries               | 1786      |
| No. unstuck entries         | 7         |
| No. unstuck closes          | 194       |
| No. normal closes           | 7125      |
| Average n fills per day     | 22.5      |
| Mean hours stuck            | 1.67104   |
| Max hours stuck             | 84.0      |
| PNL sum                     | 292.3     |
| Profit sum                  | 336.5     |
| Loss sum                    | -44.25    |
| Fee sum                     | -14.95    |
| Biggest pos size            | 17143.0   |
| Biggest pos cost            | 632.4     |
| Volume quote                | 149459.0  |
+-----------------------------+-----------+
